UNIQUEID,item_format,is_multi_select,correct_answer_count,option_count_expected,has_case_vignette,case_text,question_stem,A,B,C,D,E,F,correct_answers,CORRECT_Explanation,core_concept,content_limit,DOMAIN,domain_name,domain_weight,nasp_domain_primary,original_skill_id,current_skill_id,skill_name,skill_domain_code,skill_nasp_domain,was_remapped,cognitive_complexity,complexity_rationale,outcome,construct_actually_tested,rationale,distractor_tier_A,distractor_error_type_A,distractor_misconception_A,distractor_skill_deficit_A,distractor_tier_B,distractor_error_type_B,distractor_misconception_B,distractor_skill_deficit_B,distractor_tier_C,distractor_error_type_C,distractor_misconception_C,distractor_skill_deficit_C,distractor_tier_D,distractor_error_type_D,distractor_misconception_D,distractor_skill_deficit_D,distractor_tier_E,distractor_error_type_E,distractor_misconception_E,distractor_skill_deficit_E,distractor_tier_F,distractor_error_type_F,distractor_misconception_F,distractor_skill_deficit_F,is_foundational,prereq_chain_narrative,dominant_error_pattern,error_cluster_tag,audit_status,dominant_failure_mode_tier,top_misconception_themes,instructional_red_flags,skill_prerequisites,is_human_verified,domain_rationale,skill_rationale
PB175,Single-Select,False,1,4,False,,"As a psychologist, you will be consulted on crisis topics, plans, and interventions. Which one of the following statements is regarded as the best approach to crisis preparation?","Crisis interventions should address individuals, groups, and systems","Crisis prevention measures should be emphasized, developed, practiced, and put in place",Postvention measures should be rehearsed and considered part of a systematic response to crisis,Building-level crisis teams should be created and work seamlessly with district-level crisis teams,,,B,"All responses to this question are valid; however, the best way to approach crisis is to work to prevent a crisis situation from happening in the first place. Practice and preparation are key aspects of crisis plans.","Crisis Prevention, Intervention, Response, and Recovery","All responses to this question are valid; however, the best way to approach crisis is to work to prevent a crisis situation from happening in the first place. Practice and preparation are key aspects of crisis plans.",3,"Direct and Indirect Services for Children, Families, and Schools (Systems-Level Services)",20,6,SAF-04,SAF-04,"Crisis Prevention, Intervention, Response, and Recovery",SAF,6,False,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,CONFIRMED,Best crisis preparation practice emphasizing prevention planning rehearsal and readiness.,Explanation prioritizes proactive crisis prevention as strongest approach.,L1_false_positive,Conceptual,The student believes that intervention planning is the best first step when in fact comprehensive prevention is prioritized.,Prioritization of crisis management strategies,CORRECT,CORRECT,,,L1_false_positive,Conceptual,The student believes postvention is foundationally more significant than prevention.,Crisis management hierarchy understanding,L1_false_positive,Conceptual,The student believes that team coordination at different levels is the most critical aspect over direct prevention and preparation.,Distinction between planning and preparatory phases,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,Familiarity with systems-level support and implementation prepares a student to recognize and prioritize prevention strategies in crisis management.,L1_false_positive,scope_misapplication,AI_GENERATED,L1_false_positive,Hierarchy Confusion|Scope Misapplication|Conceptual Substitution,Struggles to prioritize prevention over intervention planning.|Confuses NASP-specific policies with broader crisis management strategies.|Incorrectly sequences actions in crisis management scenarios.,FAM-02|SWP-02,False,,
PB176,Single-Select,False,1,4,False,,"During a traumatic event, children may experience a wide variety of emotions and reactions. When actively intervening with students who may have been exposed to a trauma or a crisis situation, school psychologists should screen for what type of mental health issue?",Contagion effects,Posttraumatic stress disorder (PTSD),Depression,Anxiety,,,B,"Posttraumatic stress disorder (PTSD) is a primary concern after exposure to a traumatic event. PTSD symptoms are varied, but center on hyperarousal, overalertness, anxiety, avoidance, and obsessive thoughts about the incident.",Child and Adolescent Psychopathology,"Posttraumatic stress disorder (PTSD) is a primary concern after exposure to a traumatic event. PTSD symptoms are varied, but center on hyperarousal, overalertness, anxiety, avoidance, and obsessive thoughts about the incident.",2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,4,MBH-04,MBH-04,Child and Adolescent Psychopathology,MBH,4,False,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",CONFIRMED,Screening concern for PTSD following trauma exposure in students.,Explanation focuses on hallmark post trauma symptom cluster in psychopathology.,foundational_gap,Lexical,"Student confuses 'Contagion effects' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — Posttraumatic stress disorder (PTSD) is a primary concern after exposure to a traumatic event. PTSD symptoms are varied, but center on hyperarousal, overalertness, anxiety, avoidance, and obsessive thoughts about the incident.",CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'Depression' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — Posttraumatic stress disorder (PTSD) is a primary concern after exposure to a traumatic event. PTSD symptoms are varied, but center on hyperarousal, overalertness, anxiety, avoidance, and obsessive thoughts about the incident.",foundational_gap,Lexical,"Student confuses 'Anxiety' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — Posttraumatic stress disorder (PTSD) is a primary concern after exposure to a traumatic event. PTSD symptoms are varied, but center on hyperarousal, overalertness, anxiety, avoidance, and obsessive thoughts about the incident.",UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L1_false_positive,Scope Misapplication|Theory Substitution|Term Confusion,Inability to distinguish between ASD and other neurodevelopmental disorders|Consistent errors in identifying theoretical frameworks relevant to autism|Misinterpretation of epidemiological data for common psychological disorders,,False,,
PB177,Single-Select,False,1,4,False,,"A teacher alerts you to a high school student who has made suicidal comments during a class assignment. You meet with the student and decide a full suicide assessment is prudent. Given this situation, it is critical to do which of the following?",Secure parent permission immediately and start a student interview,Inform your school administrator that you are engaged in a priority assessment,Do not leave the student unsupervised during the process,"Immediately notify the parent(s) and conduct a suicide assessment with a mental health team member Case example for questions 38 and 39: You are a school psychologist practicing in an affluent public school district. You are notified by the district’s crisis team that an unfortunate situation has occurred. A seventh-grade student died from a self-inflicted injury late at night. The next morning, you are called to assist the crisis team at the student’s school. The administration has already been notified of the situation and they are awaiting support from the district crisis team.",,,C,"While it is important to notify parents and your school administrator of the assessment, it is most critical that you never leave a potentially suicidal student alone.",Instructional Strategies and Effective Pedagogy,"While it is important to notify parents and your school administrator of the assessment, it is most critical that you never leave a potentially suicidal student alone.",3,"Direct and Indirect Services for Children, Families, and Schools (Systems-Level Services)",20,6,ACA-04,SAF-03,Crisis and Threat Assessment,SAF,6,True,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",MISASSIGNED,Immediate suicide safety protocol requiring continuous supervision.,Explanation states the critical action is never leaving a potentially suicidal student alone.,foundational_gap,Lexical,"Student confuses 'Secure parent permission immediately and start a s' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — While it is important to notify parents and your school administrator of the assessment, it is most critical that you never leave a potentially suicidal student alone.",foundational_gap,Lexical,"Student confuses 'Inform your school administrator that you are enga' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — While it is important to notify parents and your school administrator of the assessment, it is most critical that you never leave a potentially suicidal student alone.",CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'Immediately notify the parent(s) and conduct a sui' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — While it is important to notify parents and your school administrator of the assessment, it is most critical that you never leave a potentially suicidal student alone.",UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L1_false_positive,Legal Obligations Confusion|Scope Misapplication|Theoretical Substitution,A student who consistently overestimates legal obligations in crisis scenarios.|Difficulty distinguishing between crisis intervention methods and legal mandates.|Confusion regarding the prioritization of legal versus ethical considerations in practical applications.,FAM-02|SWP-04,True,Addresses the critical protocol of never leaving a potentially suicidal student unsupervised.,Confirmed. Focuses on the protocol of supervising a suicidal student.
PB178,Single-Select,False,1,4,True,"Case example: You are a school psychologist practicing in an affluent public school district. You are notified by the district’s crisis team that an unfortunate situation has occurred. A seventh-grade student died from a self-inflicted injury late at night. The next morning, you are called to assist the crisis team at the student’s school. The administration has already been notified of the situation and they are awaiting support from the district crisis team."," In the situation just described, your initial and primary concern is which of the following?",Your attention should be to support and provide resources for the student’s family,It is critical to locate the student’s friends within the school and provide them support,You must debrief all staff about the situation before school starts,You must discuss and plan for contagion effects with school staff,,,D,"Although it is important to talk to staff as soon as possible and provide support to the family and peers of the student, it is primary to first plan for contagion effects and prevent dangerous copycat actions by others that are sensitive to suicidal topics. Typically, a discussion with key staff will yield names of sensitive students that should be monitored and supported. Note that option “C” may not be practical because holding a meeting before school for all staff is very difficult.",Family Involvement and Advocacy,"Although it is important to talk to staff as soon as possible and provide support to the family and peers of the student, it is primary to first plan for contagion effects and prevent dangerous copycat actions by others that are sensitive to suicidal topics. Typically, a discussion with key staff will yield names of sensitive students that should be monitored and supported. Note that option “C” may not be practical because holding a meeting before school for all staff is very difficult.",3,"Direct and Indirect Services for Children, Families, and Schools (Systems-Level Services)",20,6,FAM-02,SAF-04,"Crisis Prevention, Intervention, Response, and Recovery",SAF,6,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,Primary postvention priority of planning for contagion effects after student suicide.,Explanation is crisis response and recovery prioritization not family engagement advocacy.,L1_false_positive,Conceptual,The student believes immediate family support prevents further incidents when preventing contagion is more urgent initially.,Crisis Response Prioritization,L1_false_positive,Conceptual,The student believes supporting peers first prevents contagion when initial planning to prevent it takes precedence.,Crisis Management Sequence,L2_near_miss,Procedural,The student believes a full staff debrief should precede specific intervention planning.,Effective Crisis Communication Strategies,CORRECT,CORRECT,,,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,Understanding crisis prevention tactics precedes mastering crisis response prioritization in school environments.,L1_false_positive,scope_misapplication,AI_GENERATED,L1_false_positive,Hierarchy Confusion|Scope Misapplication|Conceptual Substitution,Struggles to prioritize prevention over intervention planning.|Confuses NASP-specific policies with broader crisis management strategies.|Incorrectly sequences actions in crisis management scenarios.,FAM-02|SWP-02,False,,
PB179,Single-Select,False,1,4,True,"Case example: You are a school psychologist practicing in an affluent public school district. You are notified by the district’s crisis team that an unfortunate situation has occurred. A seventh-grade student died from a self-inflicted injury late at night. The next morning, you are called to assist the crisis team at the student’s school. The administration has already been notified of the situation and they are awaiting support from the district crisis team. ",Which one of the following postvention intervention strategies is valid?,Provide students with verifiable facts and several details about the suicide to mitigate rumors,It is important to make a special early morning announcement to all students and staff to prevent rumors,"With mental health staff on-site, a special schoolwide assembly should be conducted to address contagion factors",Provide in-school resources and counseling spaces for students who need additional support,,,D,"Choice “A” may seem like a good answer—only facts should be provided to others. However, too many details about a suicide are not necessarily a good idea, especially for younger students. Although rumor control is an important consideration, a general morning announcement to all students and all staff is not a common practice, especially in very large schools. Option “C” is not a valid choice.",Crisis and Threat Assessment,"Choice “A” may seem like a good answer—only facts should be provided to others. However, too many details about a suicide are not necessarily a good idea, especially for younger students. Although rumor control is an important consideration, a general morning announcement to all students and all staff is not a common practice, especially in very large schools. Option “C” is not a valid choice.",3,"Direct and Indirect Services for Children, Families, and Schools (Systems-Level Services)",20,6,SAF-03,SAF-04,"Crisis Prevention, Intervention, Response, and Recovery",SAF,6,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,Postvention strategy selection after student suicide including on site support resources.,Explanation addresses crisis response and recovery postvention logistics rather than threat assessment procedures.,L1_false_positive,Conceptual,"The student believes that providing numerous facts is beneficial, when in fact, it can be harmful in crisis situations.",Crisis Communication Strategy,L1_false_positive,Conceptual,"The student believes that wide announcements are effective rumor control, when they can actually cause more harm in large settings.",Appropriate Crisis Communication,L3_concept_substitution,Conceptual,"The student believes assemblies address contagion, when they may actually exacerbate such effects.",Efficacy of Crisis Intervention Formats,CORRECT,CORRECT,,,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,The progression starts with understanding general intervention principles and leads to specific application in context-sensitive crisis situations.,L1_false_positive,scope_misapplication,AI_GENERATED,L1_false_positive,Hierarchy Confusion|Scope Misapplication|Conceptual Substitution,Struggles to prioritize prevention over intervention planning.|Confuses NASP-specific policies with broader crisis management strategies.|Incorrectly sequences actions in crisis management scenarios.,FAM-02|SWP-02,False,,
PB180,Single-Select,False,1,4,False,,"You are performing a formal evaluation on a 6-year-old student. During your teacher consultation, the teacher mentions that the student has difficulty with simple symbolic thinking, which should have already started to emerge. According to Piaget, this student should be in which stage of development?",Preoperational stage,Concrete stage,Operational stage,Preconcrete stage,,,A,"The preoperational stage covers the age range between 2 and 7 years. The hallmark feature of this stage is the emergence of simple symbolic thinking. For example, a picture of a cat is known by the student to represent a real cat. Option “D” is fictitious.","Child and Adolescent Development (Erikson, Piaget, Developmental Milestones)","The preoperational stage covers the age range between 2 and 7 years. The hallmark feature of this stage is the emergence of simple symbolic thinking. For example, a picture of a cat is known by the student to represent a real cat. Option “D” is fictitious.",2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,4,DEV-01,DEV-01,"Child and Adolescent Development (Erikson, Piaget, Developmental Milestones)",DEV,4,False,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,CONFIRMED,Piaget stage mapping of symbolic thinking emergence to preoperational development.,Explanation is core cognitive developmental milestone identification.,CORRECT,CORRECT,,,L1_false_positive,Conceptual,The student believes the concrete stage starts earlier at age 6 when in fact it begins around age 7.,Understanding the age ranges of Piaget's developmental stages,L1_false_positive,Lexical,The student believes there is an 'operational stage' when Piaget's theory does not specifically outline this term.,Accuracy in terminology related to Piagetian stages,L3_concept_substitution,Conceptual,The student believes 'preconcrete stage' is a valid concept when in fact it is not.,Proper identification of Piaget's developmental stages,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,The progression from prerequisite to this skill extends from general learning theories to specific developmental frameworks.,,,AI_GENERATED,L1_false_positive,Developmental Stage Confusion|Theory Substitution|Misunderstanding Readiness,Inability to match developmental stages with correct age ranges.|Confusion between different developmental theories and stages.|Misclassification of school readiness as solely behavioral.,ACA-02,False,,
PB181,Single-Select,False,1,4,False,,"As a school psychologist, you provide evaluations for gifted and talented students. As you interview a gifted high school student, you find the student is highly opinionated and wants to follow a defined occupational path as a criminal lawyer. According to Erik Erikson, this student is navigating which stage of development?",Adolescent versus preadolescent stage,Initiative versus shame and guilt,Identity versus role confusion,Industry versus inferiority,,,C,"The typical age range for students within the identity versus role confusion stage is 13 to 18 years. Although the age range for stage theories is important to consider, it is most important to consider the aspects that define particular stages. In the question, the gifted and talented description is not a significant consideration. It can be inferred that the student’s occupational path provides a sense of identity.","Child and Adolescent Development (Erikson, Piaget, Developmental Milestones)","The typical age range for students within the identity versus role confusion stage is 13 to 18 years. Although the age range for stage theories is important to consider, it is most important to consider the aspects that define particular stages. In the question, the gifted and talented description is not a significant consideration. It can be inferred that the student’s occupational path provides a sense of identity.",2,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,4,DEV-01,DEV-01,"Child and Adolescent Development (Erikson, Piaget, Developmental Milestones)",DEV,4,False,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",CONFIRMED,Erikson adolescent identity versus role confusion stage based on career identity formation.,Explanation directly applies psychosocial development model to adolescent profile.,foundational_gap,Lexical,"Student confuses 'Adolescent versus preadolescent stage' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — The typical age range for students within the identity versus role confusion stage is 13 to 18 years. Although the age range for stage theories is important to consider, it is most important to consider the aspects that define particular stages. In the question, the gifted and talented description is not a significant consideration. It can be inferred that the student’s occupational path provides a sense of identity.",foundational_gap,Lexical,"Student confuses 'Initiative versus shame and guilt' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — The typical age range for students within the identity versus role confusion stage is 13 to 18 years. Although the age range for stage theories is important to consider, it is most important to consider the aspects that define particular stages. In the question, the gifted and talented description is not a significant consideration. It can be inferred that the student’s occupational path provides a sense of identity.",CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'Industry versus inferiority' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.","Memorized recall of: nan — The typical age range for students within the identity versus role confusion stage is 13 to 18 years. Although the age range for stage theories is important to consider, it is most important to consider the aspects that define particular stages. In the question, the gifted and talented description is not a significant consideration. It can be inferred that the student’s occupational path provides a sense of identity.",UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L1_false_positive,Developmental Stage Confusion|Theory Substitution|Misunderstanding Readiness,Inability to match developmental stages with correct age ranges.|Confusion between different developmental theories and stages.|Misclassification of school readiness as solely behavioral.,ACA-02,False,,
PB182,Single-Select,False,1,4,False,,You are training school staff on the topic of school violence. A staff member asks you about the role of violent television shows and video games. Your response to the question is that you believe children can learn aggressive behaviors by watching violent movies or by observing the actions of others. Your comments are based on research conducted by which psychological researcher?,Abraham Maslow,B. F. Skinner,Albert Bandura,"Jean Piaget Case example for questions 43 to 46: You are evaluating a sixth-grade male student, named Cameron, for special education services. As part of your comprehensive assessment, you administer a full cognitive test battery (e.g., Wechsler Intelligence Scale for Children, Fifth Edition [WISC-V]) and various social–emotional measures. The preliminary results are as follows: The full-scale standard score on Cameron’s cognitive test battery is 113 (SS-113). All major cognitive domains (indexes) were found to be within two standard points of each other. The Behavior Assessment System for Children-III (BASC-III) indicates that both the teacher and parent forms have T- scores above 65 within the Attention domain. Your semi-structured student interview reveals that Cameron follows the rules of the school, but he appears to follow these rules only to avoid punishment or gain rewards.",,,C,Albert Bandura believed in the cognitive component of learning and he believed that people can learn by watching others. His beliefs were in contrast to the principles of strict behaviorism. Bandura is also known for his famous Bobo doll study involving violence.,Applying Research to Practice,Albert Bandura believed in the cognitive component of learning and he believed that people can learn by watching others. His beliefs were in contrast to the principles of strict behaviorism. Bandura is also known for his famous Bobo doll study involving violence.,4,"Direct and Indirect Services for Children, Families, and Schools (Student-Level Services)",23,3,RES-02,ACA-06,Learning Theories and Cognitive Development,ACA,3,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,Bandura social learning theory researcher identification in aggression learning context.,Explanation tests theorist attribution and learning theory content rather than research methodology interpretation.,L3_concept_substitution,Conceptual,The student believes Maslow's theory explains observational learning when it primarily explains motivation.,Differentiating between learning and motivation theories,L1_false_positive,Conceptual,The student believes Skinner's theories encompass observational learning while they primarily address conditioning.,Understanding the difference between operant conditioning and observational learning,CORRECT,CORRECT,,,L1_false_positive,Conceptual,The student believes Piaget's developmental stages include observational learning where they focus on cognitive development processes.,Understanding theories of learning mechanisms distinct from developmental stages,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,A student must first grasp the major psychological theories on learning before they can apply specific theories like Bandura's to real-world contexts.,L1_false_positive,scope_misapplication,AI_GENERATED,foundational_gap,Theory Substitution|Scope Misapplication|Term Confusion,Confusing elements of different learning theories|Inability to correctly sequence the steps in cognitive processes|Treating all learning theories as interchangeable,,True,Tests knowledge of Albert Bandura's social learning theory (Foundations of Learning).,Confirmed. Tests knowledge of Albert Bandura's social learning theory.
PB183,Single-Select,False,1,4,True,"Case example: You are evaluating a sixth-grade male student, named Cameron, for special education services. As part of your comprehensive assessment, you administer a full cognitive test battery (e.g., Wechsler Intelligence Scale for Children, Fifth Edition [WISC-V]) and various social–emotional measures. The preliminary results are as follows: The full-scale standard score on Cameron’s cognitive test battery is 113 (SS-113). All major cognitive domains (indexes) were found to be within two standard points of each other. The Behavior Assessment System for Children-III (BASC-III) indicates that both the teacher and parent forms have T- scores above 65 within the Attention domain. Your semi-structured student interview reveals that Cameron follows the rules of the school, but he appears to follow these rules only to avoid punishment or gain rewards.","Given the previous scenario, what preliminary statement can you make about Cameron’s overall cognitive ability?","Cameron’s standardized test score suggests that he might be gifted, but further information is needed to confirm this initial finding",Cameron’s cognitive ability is considered well within the average range,Cameron’s cognitive abilities are considered low average,Cameron’s cognitive abilities are situated within the high-average to above- average range,,,D,"Given a common standard error of measurement of ±5 points, a full-scale standard score of 113 would situate the true score within the average to above- average range (108–118). Most major tests have a standard average score range of 85 to 115. Standard scores typically near 110 are considered high average.",Cognitive and Intellectual Assessment,"Given a common standard error of measurement of ±5 points, a full-scale standard score of 113 would situate the true score within the average to above- average range (108–118). Most major tests have a standard average score range of 85 to 115. Standard scores typically near 110 are considered high average.",1,Professional Practices that Permeate All Aspects of Service Delivery,32,1,DBD-03,DBD-03,Cognitive and Intellectual Assessment,DBD,1,False,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,CONFIRMED,Using SEM around FSIQ to infer likely true-score range.,Applies cognitive score interpretation in context of overall intellectual ability estimate.,L1_false_positive,Conceptual,The student believes scores near 113 indicate potential giftedness when in fact they represent the high-average range.,Understanding of score range classification,L3_concept_substitution,Conceptual,"The student believes a score of 113 is average, while it is actually in the high-average range.",Interpretation of standard scores relative to norms,L3_concept_substitution,Conceptual,"The student believes a score of 113 could be categorized as low average, while it is substantially above that range.",Understanding of cognitive assessment score categories,CORRECT,CORRECT,,,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,"Initially, students must understand test norms and scoring (PSY-01), followed by grasping reliability and standard error principles (PSY-02), before they can accurately interpret cognitive assessment scores.",L3_concept_substitution,assessment_confusion,AI_GENERATED,L1_false_positive,Misinterpreting Fluid vs. Crystallized Intelligence|Assessment Score Misinterpretation|Theory Attribution Errors,Inability to differentiate fluid and crystallized intelligence|Misattribution of theoretical frameworks to incorrect cognitive assessments|Inconsistent interpretations of test score norms,DBD-01,False,,
PB184,Single-Select,False,1,4,True,"Case example: You are evaluating a sixth-grade male student, named Cameron, for special education services. As part of your comprehensive assessment, you administer a full cognitive test battery (e.g., Wechsler Intelligence Scale for Children, Fifth Edition [WISC-V]) and various social–emotional measures. The preliminary results are as follows: The full-scale standard score on Cameron’s cognitive test battery is 113 (SS-113). All major cognitive domains (indexes) were found to be within two standard points of each other. The Behavior Assessment System for Children-III (BASC-III) indicates that both the teacher and parent forms have T- scores above 65 within the Attention domain. Your semi-structured student interview reveals that Cameron follows the rules of the school, but he appears to follow these rules only to avoid punishment or gain rewards.","Based on the provided Behavior Assessment System for Children-III (BASC-III) results, what is your initial impression regarding Cameron’s attention?",Cameron’s attention scores are within the high-average range and indicate he might have attention deficit hyperactivity disorder (ADHD),"Cameron’s BASC-III T-scores place him in a category for significant attention problems, but more information is needed to confirm the presence of a disability",Cameron’s scores on the BASC-III are elevated slightly above normal and it is prudent to monitor his level of attention throughout the school year,Cameron’s scores on the BASC-III are well within the average range and both the teacher and parent forms confirm each other’s observations in two environments,,,B,"A T-score of 65 or more is near the clinically significant range (e.g., 1.5 standards above the mean). Although the two scores are cause for concern, more information from observations and other measures is necessary to make professional judgments regarding attention deficit hyperactivity disorder (ADHD). The Behavior Assessment System for Children (BASC) is a good tool, but it is only one source of data, and the National Association of School Psychologists (NASP) endorses multiple sources of information in formal situations.",Emotional and Behavioral Assessment Instruments,Use broad-spectrum tool (e.g. BASC) when multiple traits (e.g. anxiety and depression) are present; narrow-band later.,1,Professional Practices that Permeate All Aspects of Service Delivery,32,1,DBD-06,DBD-06,Emotional and Behavioral Assessment Instruments,DBD,1,False,Recall,"Stem asks for definition, fact, or named entity (law, theorist, concept).",CONFIRMED,Interpretation of BASC attention T scores and need for converging data before disability conclusions.,Explanation focuses on behavioral instrument score interpretation within multi source behavioral assessment.,foundational_gap,Lexical,"Student confuses 'Cameron’s attention scores are within the high-ave' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: BASC — Use broad-spectrum tool (e.g. BASC) when multiple traits (e.g. anxiety and depression) are present; narrow-band later.,CORRECT,CORRECT,,,foundational_gap,Lexical,"Student confuses 'Cameron’s scores on the BASC-III are elevated slig' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: BASC — Use broad-spectrum tool (e.g. BASC) when multiple traits (e.g. anxiety and depression) are present; narrow-band later.,foundational_gap,Lexical,"Student confuses 'Cameron’s scores on the BASC-III are well within t' with the correct answer because both appear in the same knowledge domain, indicating an absence of the specific memorized fact.",Memorized recall of: BASC — Use broad-spectrum tool (e.g. BASC) when multiple traits (e.g. anxiety and depression) are present; narrow-band later.,UNUSED,UNUSED,,,UNUSED,UNUSED,,,True,,foundational_gap,recall_gap,AUTO_CLASSIFIED,L1_false_positive,Assessment Confusion|Scope Misapplication|Term Confusion,Confusing the purpose of specific assessment instruments|Equating dated assessment tools with contemporary versions|Misinterpreting score ranges and criteria,DBD-09|DBD-10,False,,
PB185,Single-Select,False,1,4,True,"Case example: You are evaluating a sixth-grade male student, named Cameron, for special education services. As part of your comprehensive assessment, you administer a full cognitive test battery (e.g., Wechsler Intelligence Scale for Children, Fifth Edition [WISC-V]) and various social–emotional measures. The preliminary results are as follows: The full-scale standard score on Cameron’s cognitive test battery is 113 (SS-113). All major cognitive domains (indexes) were found to be within two standard points of each other. The Behavior Assessment System for Children-III (BASC-III) indicates that both the teacher and parent forms have T- scores above 65 within the Attention domain. Your semi-structured student interview reveals that Cameron follows the rules of the school, but he appears to follow these rules only to avoid punishment or gain rewards.","In addition to the assessment tools used in the previous example, what other assessments should you complete as part of a comprehensive evaluation?",A review of student records and a student observation,A parent interview and behavioral checklist,A behavioral checklist and response to intervention (RTI) data review,RTI data review and review academic performance,,,A,"Although all choices could be valid, the choice that would complete a comprehensive evaluation is choice “A.” A review of student records involves both previous academic and behavioral information. Also, choice “A” is the only choice that involves a student observation, which is key for initial evaluations.",Background Information and Records Review,"Although all choices could be valid, the choice that would complete a comprehensive evaluation is choice “A.” A review of student records involves both previous academic and behavioral information. Also, choice “A” is the only choice that involves a student observation, which is key for initial evaluations.",1,Professional Practices that Permeate All Aspects of Service Delivery,32,1,DBD-10,DBD-01,RIOT Framework and Multi-Method Information Gathering,DBD,1,True,Application,Stem presents a scenario and asks for appropriate action or application of a rule.,MISASSIGNED,Comprehensive evaluation completion using record review plus direct student observation.,Explanation frames records as one component in a broader multi method assessment process.,CORRECT,CORRECT,,,L2_near_miss,Procedural,The student believes that interviews and checklists suffice without direct student observation.,Multi-Method Information Gathering,L1_false_positive,Conceptual,The student believes that recent data alone can complete the full evaluation context.,Background Information and Records Review,L3_concept_substitution,Conceptual,The student believes academic and intervention data replace behavioral observation needs.,Comprehensive Evaluation Design,UNUSED,UNUSED,,,UNUSED,UNUSED,,,False,Understanding records review and behavioral assessment sets the stage for integrating both within a comprehensive framework.,L1_false_positive,scope_misapplication,AI_GENERATED,L3_concept_substitution,Assessment Confusion|Theory Substitution|Procedure Inversion,Misunderstanding the purpose of standardized versus authentic assessments.|Substituting known psychological terms with fabricated terms.|Inability to correctly sequence assessment processes.,,False,,
