batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
8,4,PQ_DIV-03_4,DIV-03,"A school psychologist interprets an intelligence test using norms developed primarily on white, middle-class students for a student from a low-income, multicultural background. What bias concern is most relevant?",The student's culture is inferior in cognitive abilities,Cultural loading in test items and non-representative norms may artificially depress scores,The student is faking low performance,Standardized tests are entirely invalid for this student,,,B,"Test items may contain cultural references unfamiliar to the student, and norms may not represent the student's demographic group—both creating systematic bias. Option A is a false and harmful assumption. Option C invokes deception without evidence. Option D overstates the problem; the tests have limitations but aren't entirely invalid.",,
8,5,PQ_DIV-03_5,DIV-03,A teacher refers a student to special education evaluation after the student questions the teacher's authority in class. The referral may reflect:,"Appropriate recognition of a disability, without adequate clinical justification.",The teacher's cultural bias that interprets assertiveness negatively based on the student's racial background,An accurate assessment of the student's behavior disorder,The student's genuine need for special education services,,,B,"Assertiveness that would be accepted from one student may be misinterpreted as defiance or behavioral disorder in another—potentially reflecting implicit bias about who should question authority. Options A, C, and D assume the referral is valid without examining potential bias.",,DISTRACTOR_A_EXPANDED
8,6,PQ_DIV-03_6,DIV-03,What does a risk ratio of 2.5 for Black students in discipline represent?,Black students receive discipline at 2.5 times the rate of white students,Black students deserve stricter discipline,"Discipline is unequally applied across racial groups, and further investigation is warranted",Teachers are more biased against Black students than other groups,,,A,"A risk ratio of 2.5 indicates the rate for Black students is 2.5 times that of the comparison group (typically white students). Option B makes an inappropriate judgment. Option C is partially true but the question asks what the statistic represents, not what to do about it. Option D overgeneralizes.",,
8,7,PQ_DIV-03_7,DIV-03,A school psychologist notices she consistently gives higher credibility to assessment results that align with her initial impression of a student and lower credibility to conflicting results. This decision-making pattern reflects:,Confirmation bias,Anchoring bias,Stereotype threat,Cultural competence,,,A,"Confirmation bias involves seeking, interpreting, and remembering information that confirms existing beliefs while ignoring disconfirming information. Option B involves over-relying on one information source. Option C is an individual student experience. Option D is the opposite of what's described.",,
8,8,PQ_DIV-03_8,DIV-03,"According to stereotype threat research (Steele), when a student becomes aware of negative stereotypes about their group's performance in a domain, the student may experience:",Motivation to disprove the stereotype and perform better,Anxiety and impaired performance due to concern about confirming the stereotype,No impact on performance because stereotypes are false,Increased confidence in the performance domain,,,B,"Stereotype threat describes how awareness of negative stereotypes creates anxiety and working memory interference, impairing performance. Option A reflects a common misconception—threat typically impairs rather than improves performance. Option C ignores the psychological effect of stereotype awareness. Option D is opposite the effect.",,
8,9,PQ_DIV-03_9,DIV-03,A school psychologist reviews three students' cumulative files and finds that students of color have twice the rate of referral for behavioral/emotional disabilities compared to white students. What is the most important first step?,Immediately place students of color in behavioral programs to address this gap,"Investigate the referral process, teacher expectations, assessment procedures, and potential biases contributing to the disparity",Conclude that the disparity reflects real differences in behavior/emotional disability rates,Accept the disparity as reflecting normal variation in disability distribution,,,B,"Disproportionality requires investigation of sources—referral bias, assessment bias, teacher expectations, or other systemic factors. Option A acts without understanding causes. Option C assumes the disparity reflects reality. Option D ignores potential bias.",,
8,10,PQ_DIV-03_10,DIV-03,"A school psychologist interprets a student's low achievement test score as reflecting low ability, despite the student's strong classroom performance under the teacher's individualized instruction. This interpretation error is best explained by:",The student's cultural difference from the test norm group,Anchoring bias toward the standardized test score,The student's stereotype threat during testing,The test's high reliability and validity,,,B,Anchoring bias explains over-relying on the standardized test while discounting contradictory evidence (strong classroom performance). Option A might be true but doesn't explain the interpretation error. Option C is possible but doesn't explain why the classroom data was discounted. Option D is irrelevant.,,
8,11,PQ_DIV-03_11,DIV-03,Microaggressions in school settings are best described as:,"Overt, intentional acts of discrimination, without adequate clinical justification.","Brief, commonplace interactions that communicate hostile, negative, or derogatory messages to individuals based on marginalized identity",Imagined slights experienced by oversensitive individuals,"Compliments that are actually negative, which does not apply in this clinical context.",,,B,"Microaggressions are subtle, often unintentional messages that communicate negativity toward marginalized groups. Option A describes overt discrimination. Option C dismisses the validity and impact of microaggressions. Option D is too narrow.",PARTIAL_FIX|margin=50,DISTRACTOR_A_EXPANDED; DISTRACTOR_D_EXPANDED
8,12,PQ_DIV-03_12,DIV-03,A school psychologist consistently forms lower expectations for students in a particular racial group based on research showing lower average achievement in that group. This reflects:,Evidence-based practice,Using group statistics as evidence of individual ability,Appropriate consideration of cultural differences,Realistic assessment based on demographic data,,,B,"Applying group statistics to individuals creates stereotypes and lowers expectations inappropriately. This ""ecological fallacy"" or ""statistical discrimination"" is biased and harmful. Option A misuses the research. Options C and D rationalize inappropriate generalization.",,CORRECT_B_SHORTENED(em-dash trim)
8,13,PQ_DIV-03_13,DIV-03,"When a school psychologist discovers their own implicit biases through assessment or reflection, the most ethical response is:","Deny the biases exist and continue unchanged, without adequate clinical justification.","Acknowledge the biases, explore how they might affect decision-making, and take deliberate steps to monitor and counteract them in practice",Assume everyone has biases and take no action to change without gathering data to support or refute that interpretation.,Only acknowledge biases in private reflection without changing professional behavior,,,B,"Self-awareness about bias is a foundation for changing behavior. Active monitoring and deliberate counteraction protect students from bias effects. Options A, C, and D avoid taking responsibility or action.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED
8,14,PQ_DIV-03_14,DIV-03,Students from a particular racial/ethnic background are underrepresented in a district's gifted program. Which factor is most likely to reduce this disparity?,"Raising test score cutoffs to be more selective, without adequate clinical justification.","Using portfolio assessment, classroom observation, and teacher referral training to recognize gifted characteristics in students from underrepresented groups and reduce reliance on culturally biased standardized tests",Accepting that giftedness is naturally less common in that population,Limiting gifted program enrollment to maintain current demographic composition,,,B,"Diversifying assessment methods, training teachers to recognize diverse expressions of giftedness, and reducing culturally biased test reliance increase identification. Options A and C perpetuate underrepresentation. Option D maintains inequity.",PARTIAL_FIX|margin=128,DISTRACTOR_A_EXPANDED
8,15,PQ_DIV-03_15,DIV-03,A school district with a zero-tolerance discipline policy finds that students of color receive harsher consequences than white students for similar infractions. This disparity most likely reflects:,Actual differences in the severity of misbehavior by students of color,"Biases in how rules are interpreted and applied, separate from the rules themselves",Better teacher training for addressing behavior in students of color,The necessity of stricter discipline for students of color to maintain safety,,,B,Disparate outcomes despite similar infractions suggest bias in interpretation and application of rules. Option A assumes outcome differences reflect actual behavior differences. Option C contradicts the finding of harsher consequences. Option D is factually unsupported and harmful.,,
8,16,PQ_DIV-03_16,DIV-03,Research on school-to-prison pipeline concerns shows that:,Schools have no influence on criminal justice involvement,"School policies, particularly exclusionary discipline, police presence in schools, and biased enforcement disproportionately push students from marginalized groups toward the criminal justice system",Students involved in the criminal justice system chose crime despite good school environments,Zero-tolerance policies equally affect all student groups,,,B,The school-to-prison pipeline describes how school policies and criminal justice system involvement interact to disproportionately affect students of color. Option A ignores school influence. Option C attributes responsibility to students while ignoring systemic factors. Option D contradicts research on disparities.,STILL_FLAGGED|margin=105,
8,17,PQ_DIV-03_17,DIV-03,A school psychologist notices that students with the same behavioral infractions receive different consequences based on racial background. What action aligns with anti-racism practice?,Ignore the difference to treat everyone the same and continue without meaningful modification to the current approach.,"Document the disparity, bring it to leadership's attention, and work toward equitable policy implementation with monitoring for continued bias",Assume teachers have good reasons for the differences without gathering data to support or refute that interpretation.,Accept the disparity as reflecting students' actual differences in behavior,,,B,Recognizing disparity and taking action to address it is core to anti-racism work. Option A ignores documented inequity. Option C avoids investigation. Option D denies bias without evidence.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED
8,18,PQ_DIV-03_18,DIV-03,The phenomenon where a student performs worse on tasks when aware of negative stereotypes about their group's abilities in that domain is called:,Implicit bias,Confirmation bias,Stereotype threat,Anchoring bias,,,C,"Stereotype threat specifically describes performance decrements when stereotype awareness creates cognitive interference. Options A, B, and D describe different bias phenomena.",,
8,19,PQ_DIV-03_19,DIV-03,"A school psychologist is aware of research showing higher rates of ADHD diagnosis in boys than girls. When evaluating a female student with inattention symptoms, what bias consideration is relevant?","Girls cannot have ADHD, so skip further evaluation","Girls are less likely to be diagnosed, so the psychologist should actively look for ADHD symptoms that might otherwise be missed or attributed to other factors",Girls' ADHD symptoms are less important than boys' symptoms,The higher rate in boys proves boys actually have more ADHD regardless of assessment findings,,,B,Girls' ADHD is underidentified due to different presentation and gender bias in recognition. Awareness of this bias can prevent underdiagnosis. Option A is false. Option C is baseless. Option D confuses rates with prevalence.,STILL_FLAGGED|margin=66,
8,20,PQ_DIV-03_20,DIV-03,A school district wants to reduce bias in the IEP team's special education eligibility decisions. Which practice is most evidence-based?,Have one psychologist make all decisions to ensure consistency,"Use structured decision-making protocols, ensure diverse team composition, require examination of data for demographic disparities, and implement bias awareness training",Rely primarily on subjective team member opinions about eligibility,Make decisions quickly to avoid overthinking that might introduce bias,,,B,"Diverse teams, structured protocols, disparities monitoring, and bias training all reduce bias in decision-making. Option A concentrates bias in one person. Option C increases bias opportunity. Option D assumes quick decisions are unbiased, which research contradicts.

---",STILL_FLAGGED|margin=99,
8,1,PQ_DIV-05_1,DIV-05,A school district identifies that English Language Learner (ELL) students with learning disabilities are significantly underidentified for special education. Which procedural protection under IDEA is most relevant?,Schools must excuse ELL students from special education evaluation,Schools must conduct nondiscriminatory evaluation that distinguishes between language difference and language disorder,Schools must automatically place ELL students in general education without evaluation,Schools must evaluate ELL students only in English,,,B,"IDEA requires nondiscriminatory evaluation; for ELL students, this means carefully distinguishing language difference (normal variation in English proficiency) from language disorder (underlying disability). Option A is false—ELL students can and should be evaluated if disability is suspected. Option C skips evaluation. Option D violates best practices for language assessment.",,
8,2,PQ_DIV-05_2,DIV-05,"According to the Lau v. Nichols decision and IDEA requirements, schools must ensure that ELL students:",Are not evaluated for special education due to language barrier,Receive evaluation and services in their home language when available and appropriate,Only receive services in English as they learn the majority language,Are automatically placed in English-only classrooms,,,B,Schools must provide evaluations and services in the student's home language to the extent possible. Option A incorrectly exempts ELL students from evaluation. Option C ignores home language rights. Option D mandates English-only incorrectly.,,
8,3,PQ_DIV-05_3,DIV-05,A twice-exceptional (2e) student is intellectually gifted but has ADHD. The student is placed in advanced academic classes but struggles with organization and task initiation. The IEP should include:,Removal from gifted programming due to the disability,Remediation to fix the ADHD while maintaining advanced placement,Modifications and support services that allow the student to access advanced curriculum while addressing ADHD-related needs,General education placement without special education services since the student is gifted,,,C,"2e students require services that support both giftedness and disability. The goal is accessing advanced curriculum with appropriate supports. Option A unnecessarily removes advanced opportunity. Option B focuses on ""fixing"" rather than supporting. Option D denies needed services.",,
8,4,PQ_DIV-05_4,DIV-05,"A student from a low-income family is suspected of having a learning disability, but prior to formal evaluation, the team should:",Automatically refer for special education evaluation,"Implement high-quality, evidence-based general education interventions with progress monitoring",Assume low achievement results from poverty and skip evaluation,Recommend the family seek private assessment instead,,,B,IDEA emphasizes pre-referral intervention (RTI/MTSS) to distinguish low performance from actual disability. Option A skips the intervention process. Option C ignores potential disability and violates Child Find. Option D shifts responsibility to the family inappropriately.,,CORRECT_B_SHORTENED(semicolon trim)
8,5,PQ_DIV-05_5,DIV-05,"When evaluating a student from a racial/ethnic minority background for special education, the school psychologist must be aware that:",Minority students are less likely to have actual disabilities,"Standardized test norms, cultural bias in items, and biased referral processes can lead to both over- and underidentification of disabilities in minority students",Disproportionality is always evidence of appropriate identification reflecting true disability rates,Reducing minority students' special education placement is the primary goal,,,B,"Bias affects identification in complex ways—some groups are over-identified (e.g., Black students in ED), others underidentified (e.g., Asian students with disabilities). Option A is false. Option C ignores bias. Option D, while addressing equity, oversimplifies.",STILL_FLAGGED|margin=62,
8,6,PQ_DIV-05_6,DIV-05,An IEP goal for a student with a disability who is from a low-income family should:,Lower academic expectations based on SES,Reflect ambitious learning outcomes while specifying how poverty-related barriers will be addressed.,Focus only on survival skills given economic constraints,Assume the family cannot support the goal due to limited resources,,,B,"High expectations for all students, combined with addressing specific barriers, is the equity-focused approach. Option A lowers standards based on demographics. Option C underestimates student potential. Option D stereotypes low-income families.",,CORRECT_B_SHORTENED(parenthetical trim)
8,7,PQ_DIV-05_7,DIV-05,Which of the following is an example of underrepresentation in special education?,Asian students being referred for special education at lower rates than white students,Black students being placed in emotional/behavioral disabilities at higher rates than white students,Students with autism spectrum disorder being placed in general education classrooms,All students receiving equal access to special education services,,,A,Underrepresentation occurs when a group is identified at lower rates than expected based on prevalence. Option B is an example of overrepresentation. Option C is not about identification disparities. Option D is not disproportionality.,,
8,8,PQ_DIV-05_8,DIV-05,"A student who is Native American/Indigenous has a disability and requires special education services. Under IDEA, the school must:",Refer the case to tribal authorities instead of providing services,Provide services using the general IDEA procedures while respecting tribal sovereignty and involving tribal representatives in planning when appropriate,"Limit services to academic subjects only, without adequate clinical justification.",Assume the student's family prefers alternative healing approaches and skip formal special education,,,B,"IDEA applies to Native American students, and schools should respect tribal rights and family preferences while providing appropriate services. Option A improperly delegates school responsibility. Option C limits services. Option D makes assumptions without consultation.",PARTIAL_FIX|margin=52,DISTRACTOR_C_EXPANDED
8,9,PQ_DIV-05_9,DIV-05,Restraint and seclusion data in a school shows that students with emotional/behavioral disabilities are restrained at 5 times the rate of other students. This finding is most concerning if:,All students restrained had legitimate behavioral emergencies,Disparities exist in who is restrained based on race/ethnicity or disability status.,The school has clear policies on restraint use,The incidents were properly documented,,,B,Disparate use patterns suggest bias or systemic issues in how restraint is applied. Option A assumes legitimacy without examining disparities. Options C and D address documentation without examining equity.,,CORRECT_B_SHORTENED(trailing-clause trim)
8,10,PQ_DIV-05_10,DIV-05,An equity audit of special education in a district should examine:,Only the number of students identified in each disability category,"Identification and placement rates by race/ethnicity and disability status, the quality and culturally responsiveness of services, and outcomes for students from different groups",Whether the district meets minimum special education enrollment numbers,"Only special education finances, without adequate clinical justification.",,,B,"Comprehensive equity audits examine disparities in identification, service quality, and outcomes. Option A is too narrow. Option C focuses on enrollment numbers without equity. Option D ignores student experiences.",PARTIAL_FIX|margin=105,DISTRACTOR_D_EXPANDED
8,11,PQ_DIV-05_11,DIV-05,"When an IEP is developed for a student from a collectivist cultural background, goals should:",Emphasize only individual student achievement,Respect cultural values while setting ambitious goals; include input from family and community members important to decision-making,Be chosen by the school team without family input to ensure alignment with standards,Focus on helping the student assimilate to mainstream individualistic values,,,B,Culturally responsive IEP development involves the family's values and social structures while maintaining high expectations. Option A ignores cultural context. Option C violates parent participation rights. Option D disrespects cultural identity.,,
8,12,PQ_DIV-05_12,DIV-05,A student experiencing homelessness is suspected of having a disability. The school must:,Wait until the student has stable housing before beginning evaluation,Proceed with evaluation under IDEA regardless of housing status,Assume homelessness explains all academic and behavioral difficulties,Refer the student to social services instead of special education,,,B,Homelessness does not exempt students from special education protections; schools must remove barriers to participation. Option A delays needed evaluation. Option C avoids assessment of potential disability. Option D is not mutually exclusive with special education.,,CORRECT_B_SHORTENED(semicolon trim)
8,13,PQ_DIV-05_13,DIV-05,A school psychologist is evaluating an ELL student for a learning disability. The evaluation should:,Be conducted entirely in English since that is the school language,Include assessment in both the home language and English,Use only nonverbal tests to avoid language confounds,Be delayed until the student is proficient in English,,,B,Comprehensive assessment of ELL students includes bilingual evaluation to separate language difference from disorder. Option A prevents understanding true functioning. Option C limits assessment. Option D delays needed evaluation.,,CORRECT_B_SHORTENED(semicolon trim)
8,14,PQ_DIV-05_14,DIV-05,"Regarding the school-to-prison pipeline, school psychologists should be aware that:",Their role in discipline referral and special education placement can either perpetuate or help prevent the pipeline,The pipeline is unrelated to school special education decisions,Schools have no responsibility in addressing this issue,"Law enforcement, not schools, causes involvement in the criminal justice system",,,A,"School psychologists' decisions about discipline, behavioral interventions, and special education affect involvement in criminal justice. Awareness of bias and advocacy for equity-focused practices can reduce pipeline risk. Option B ignores the school's role. Options C and D deny responsibility.",,
8,15,PQ_DIV-05_15,DIV-05,"An IEP team is considering a more restrictive placement for a student with a disability. Under IDEA's LRE requirement, the team must:",Automatically place the student in the least restrictive setting (general education),Consider whether less restrictive options with supplementary supports could meet the student's needs before moving to more restrictive settings,Focus on the student's disability category when determining placement,Place all students with disabilities in separate settings to protect non-disabled peers,,,B,LRE requires considering a continuum with general education first and moving to more restrictive settings only if supplementary supports don't work. Option A ignores that some students need more restrictive settings. Option C ignores individualized placement decisions. Option D is incorrect and harmful.,STILL_FLAGGED|margin=56,
8,16,PQ_DIV-05_16,DIV-05,"When serving gifted students from underrepresented groups, the school should:",Lower curriculum rigor to be more culturally accessible,Identify gifted characteristics through diverse methods,Wait until students demonstrate achievement in English before considering for gifted services,Provide only career/technical education pathways,,,B,"Underrepresented gifted students need diverse identification, advanced curriculum, and culturally relevant delivery. Option A lowers standards inappropriately. Option C delays identification. Option D limits opportunities.",,CORRECT_B_SHORTENED(semicolon trim)
8,17,PQ_DIV-05_17,DIV-05,A student with a disability who is in foster care is entitled to:,Automatic placement in special education regardless of actual need,IDEA protections; the school must also coordinate with child welfare and address trauma-informed practices in the IEP,Limited special education services due to placement instability,Special education only if the biological parent requests it,,,B,Students in foster care have full IDEA protections plus additional coordination needs and trauma consideration. Option A provides services unnecessarily. Option C reduces access. Option D ignores school responsibility.,STILL_FLAGGED|margin=51,
8,18,PQ_DIV-05_18,DIV-05,A district notices that students from a particular socioeconomic background are overrepresented in intellectual disability (ID) identifications. What should be investigated?,Whether the assessment instruments are biased or use culturally loaded items,"Whether students are being misidentified due to assessment bias, language differences, or low SES affecting test performance",Whether students actually have more cases of ID based on SES,Whether IQ testing is the only measure of ID,,,B,"Over-representation in ID suggests assessment bias or misidentification. Option A is partially correct but less comprehensive. Option C assumes disparity reflects reality. Option D, while valid, doesn't directly address over-representation.",,
8,19,PQ_DIV-05_19,DIV-05,Extended School Year (ESY) services should be considered for students:,Only in academic disability categories,With significant needs who would regress without services over the summer break,"Based on age only (e.g., all students ages 5-8)","Never, as students need summer break time",,,B,"ESY is individualized, considering regression and whether the student has significant needs. Option A incorrectly limits to academic categories. Option C uses age as sole criterion. Option D denies needed services.",,CORRECT_B_SHORTENED(semicolon trim)
8,20,PQ_DIV-05_20,DIV-05,"When considering special education eligibility, a school must ensure that:",Minority students are rarely identified for special education to avoid disparities,"Assessment is nondiscriminatory, culturally appropriate, and involves comprehensive evaluation from multiple sources before determining eligibility",All students who struggle academically are placed in special education,The student's race/ethnicity influences the disability determination,,,B,"IDEA requires nondiscriminatory, comprehensive evaluation. This protects against both over- and underidentification. Option A creates underrepresentation. Option C over-identifies. Option D is inappropriate.

---",STILL_FLAGGED|margin=65,
