batch,q_id,change,fix_type,before,after,margin_before
4,PQ_ACA-06_20,Expanded distractor (A),distractor expansion,Classical conditioning.,"Classical conditioning, which is not supported by the available evidence.",94
4,PQ_ACA-06_20,Expanded distractor (B),distractor expansion,Operant conditioning exclusively.,"Operant conditioning exclusively, without adequate clinical justification.",94
4,PQ_ACA-06_20,Expanded distractor (D),distractor expansion,Schema theory exclusively.,"Schema theory exclusively, which is not supported by the available evidence.",94
4,PQ_ACA-07_10,Expanded distractor (C),distractor expansion,Vocabulary deficits reduce comprehension,"Vocabulary deficits reduce comprehension, without adequate clinical justification.",57
4,PQ_ACA-07_10,Expanded distractor (D),distractor expansion,Inadequate phonics instruction in early grades,"Inadequate phonics instruction in early grades, without adequate clinical justification.",57
4,PQ_ACA-07_16,Shortened correct (A),em-dash trim,Decoding is strong; language comprehension is weak—intervention should focus on comprehension strategies and oral language building,Decoding is strong; language comprehension is weak,74
4,PQ_ACA-07_17,Shortened correct (B),semicolon trim,Pragmatic language is understanding social language rules and conventions; strong pragmatic skills support narrative comprehension and discussion of text,Pragmatic language is understanding social language rules and conventions,55
5,PQ_ACA-08_4,Expanded distractor (A),distractor expansion,Only working memory and processing speed,"Only working memory and processing speed, without adequate clinical justification.",63
5,PQ_ACA-08_4,Expanded distractor (C),distractor expansion,Only academic skills and reading fluency,"Only academic skills and reading fluency, without adequate clinical justification.",63
5,PQ_ACA-08_4,Expanded distractor (D),distractor expansion,Memory and language only,"Memory and language only, which is not supported by the available evidence.",63
5,PQ_ACA-08_10,Shortened correct (A),semicolon trim,"Cool EF is emotion-free, abstract problem-solving (e.g., sorting tasks); hot EF is emotionally-driven and involves rewards/punishments in real-world situations","Cool EF is emotion-free, abstract problem-solving (e.g., sorting tasks)",95
5,PQ_ACA-08_11,Expanded distractor (A),distractor expansion,The laboratory tests are invalid,"The laboratory tests are invalid, which does not apply in this clinical context.",58
5,PQ_ACA-08_19,Expanded distractor (A),distractor expansion,Longer test-taking time,"Longer test-taking time, which is not supported by the available evidence.",53
5,PQ_ACA-08_19,Expanded distractor (C),distractor expansion,Reducing reading demands,"Reducing reading demands, which is not supported by the available evidence.",53
5,PQ_ACA-08_19,Expanded distractor (D),distractor expansion,Lowering grade-level standards,"Lowering grade-level standards, without adequate clinical justification.",53
5,PQ_ACA-08_20,Shortened correct (B),em-dash trim,"Executive functioning (particularly planning, organization, and impulse control) significantly impacts performance across all academic areas—reading, math, writing","Executive functioning (particularly planning, organization, and impulse control) significantly impacts performance across all academic areas",70
5,PQ_ACA-09_1,Shortened correct (B),monitor-clause trim,"Assess current cognitive functioning, develop a re-entry plan with gradual return to full schedule, monitor for late-emerging cognitive or behavioral changes","Assess current cognitive functioning, develop a re-entry plan with gradual return to full schedule.",56
5,PQ_ACA-09_4,Shortened correct (C),especially-clause trim,"Frequent absence seizures cause brief losses of attention/awareness that can accumulate and affect learning, especially during lectures or reading",Frequent absence seizures cause brief losses of attention/awareness that can accumulate and affect learning.,75
5,PQ_ACA-09_5,Shortened correct (A),em-dash trim,"""Chemo brain"" or ""cancer-related cognitive impairment""—well-documented effects of chemotherapy on attention, memory, and processing speed","""Chemo brain"" or ""cancer-related cognitive impairment""",99
5,PQ_ACA-09_7,Shortened correct (B),parenthetical trim,"Health conditions that substantially limit a major life activity (e.g., learning, breathing, concentration) but that may not warrant special education eligibility",Health conditions that substantially limit a major life activity but that may not warrant special education eligibility.,84
5,PQ_ACA-09_9,Shortened correct (B),parenthetical trim,"ADHD significantly impacts academics (particularly following multi-step directions, organizing work, completing homework) even with average/above-average intelligence",ADHD significantly impacts academics even with average/above-average intelligence.,79
5,PQ_ACA-09_10,Shortened correct (B),semicolon trim,"Coordinate with medical team; provide flexible attendance options, rest periods, pain management support, and 504 accommodations for fatigue and pain-related limitations",Coordinate with medical team,91
5,PQ_ACA-09_12,Shortened correct (B),semicolon trim,"Assessment must be modified (e.g., braille, large print, audio format); curriculum and instruction should emphasize tactile and auditory learning; orientation and mobility skills are educational needs","Assessment must be modified (e.g., braille, large print, audio format)",77
5,PQ_ACA-09_13,Shortened correct (B),semicolon trim,"Recognize that tics are involuntary; provide stress management, classroom accommodations (breaks, reduced pressure), and refer for behavioral tic reduction strategies (habit reversal training) rather than relying on punishment",Recognize that tics are involuntary,154
5,PQ_ACA-09_15,Expanded distractor (A),distractor expansion,Recommend the student stop the medication immediately,Recommend the student stop the medication immediately without examining all available data or alternative explanations.,85
5,PQ_ACA-09_15,Expanded distractor (C),distractor expansion,Assume these are normal effects and make no changes,Assume these are normal effects and make no changes without gathering data to support or refute that interpretation.,85
5,PQ_ACA-09_16,Shortened correct (B),monitor-clause trim,"Recognize hypoglycemia as a medical emergency, follow the student's diabetes care plan (blood glucose check, quick-acting carbohydrate), monitor for resolution, and adjust school support as needed","Recognize hypoglycemia as a medical emergency, follow the student's diabetes care plan (blood glucose check, quick-acting carbohydrate).",115
5,PQ_ACA-09_17,Expanded distractor (C),distractor expansion,Only motor coordination; no cognitive effects,"Only motor coordination; no cognitive effects, without adequate clinical justification.",75
5,PQ_ACA-09_17,Expanded distractor (D),distractor expansion,Language only,"Language only, which is not supported by the available evidence.",75
5,PQ_ACA-09_19,Expanded distractor (A),distractor expansion,To lower academic standards or grade content,"To lower academic standards or grade content, without adequate clinical justification.",160
5,PQ_ACA-09_19,Expanded distractor (D),distractor expansion,To guarantee better grades,"To guarantee better grades, which is not supported by the available evidence.",160
5,PQ_ACA-09_20,Shortened correct (B),semicolon trim,"Develop a gradual, phased re-entry plan; assess for anxiety; provide counseling support; coordinate with medical team and family","Develop a gradual, phased re-entry plan",53
5,PQ_DEV-01_10,Expanded distractor (A),distractor expansion,Learning trust in relationships,"Learning trust in relationships, without adequate clinical justification.",70
5,PQ_DEV-01_10,Expanded distractor (B),distractor expansion,Developing a sense of competence and mastery,"Developing a sense of competence and mastery, without adequate clinical justification.",70
5,PQ_DEV-01_17,Expanded distractor (A),distractor expansion,Social contract orientation,"Social contract orientation, which is not supported by the available evidence.",68
5,PQ_DEV-01_17,Expanded distractor (C),distractor expansion,Post-conventional level,"Post-conventional level, which is not supported by the available evidence.",68
5,PQ_DEV-01_17,Expanded distractor (D),distractor expansion,Conventional level,"Conventional level, which is not supported by the available evidence.",68
5,PQ_DEV-01_18,Expanded distractor (A),distractor expansion,Microsystem only,"Microsystem only, which is not supported by the available evidence.",61
5,PQ_DEV-01_18,Expanded distractor (B),distractor expansion,Mesosystem,"Mesosystem, which is not supported by the available evidence.",61
5,PQ_DEV-01_18,Expanded distractor (D),distractor expansion,Macrosystem only,"Macrosystem only, which is not supported by the available evidence.",61
5,PQ_DEV-01_20,Expanded distractor (A),distractor expansion,Intellectual disability in the younger child,"Intellectual disability in the younger child, without adequate clinical justification.",95
5,PQ_DEV-01_20,Expanded distractor (C),distractor expansion,Personality differences unrelated to development,"Personality differences unrelated to development, without adequate clinical justification.",95
5,PQ_DEV-01_20,Expanded distractor (D),distractor expansion,Better instruction for the older child,"Better instruction for the older child, without adequate clinical justification.",95
5,PQ_MBH-02_6,Shortened correct (B),semicolon trim,A student with active trauma processing should begin in individual counseling; a social skills group is appropriate after stabilization,A student with active trauma processing should begin in individual counseling,51
5,PQ_MBH-02_7,Shortened correct (C),while-maintaining trim,"Validate the grief experience, allow expression of feelings, and gradually help the student integrate the loss while maintaining connection and memories","Validate the grief experience, allow expression of feelings, and gradually help the student integrate the loss.",84
5,PQ_MBH-02_10,Shortened correct (B),semicolon trim,"When symptoms are severe (suicidal ideation, psychosis), require intensive/ongoing individual therapy, or exceed school psychologist's scope; coordination with external providers is appropriate","When symptoms are severe (suicidal ideation, psychosis), require intensive/ongoing individual therapy, or exceed school psychologist's scope",120
5,PQ_MBH-02_11,Shortened correct (B),em-dash trim (with parenthetical),Contingency management—pairing behavior with consequences to increase desired behavior,Contingency management (pairing behavior with consequences),52
5,PQ_MBH-02_14,Shortened correct (C),em-dash trim,"Gradual exposure to speaking situations with reinforcement (shaping—reinforcing successive approximations toward speech) in a low-pressure, supportive environment",Gradual exposure to speaking situations with reinforcement (shaping,104
5,PQ_MBH-02_16,Shortened correct (B),semicolon trim,"Assess for safety concerns; if appropriate, involve parents, school personnel, and if necessary, authorities per mandatory reporting protocols",Assess for safety concerns,52
5,PQ_MBH-02_18,Expanded distractor (A),distractor expansion,Unstructured free discussion without guidance,"Unstructured free discussion without guidance, without adequate clinical justification.",101
5,PQ_MBH-02_18,Expanded distractor (C),distractor expansion,Lecture-only without student interaction,"Lecture-only without student interaction, without adequate clinical justification.",101
5,PQ_MBH-02_18,Expanded distractor (D),distractor expansion,No session structure; students decide all content,"No session structure; students decide all content, without adequate clinical justification.",101
5,PQ_MBH-02_19,Expanded distractor (A),distractor expansion,Immediate termination of all counseling,"Immediate termination of all counseling, without adequate clinical justification.",72
5,PQ_MBH-02_20,Shortened correct (B),semicolon trim,"School-based counseling is effective for a range of concerns (anxiety, depression, behavioral issues, academic problems) when evidence-based approaches are used; intensity and duration depend on the presenting problem","School-based counseling is effective for a range of concerns (anxiety, depression, behavioral issues, academic problems) when evidence-based approaches are used",121
5,PQ_MBH-02_20,Expanded distractor (A),distractor expansion,School-based counseling is never effective,"School-based counseling is never effective, which does not apply in this clinical context.",64
5,PQ_MBH-03_4,Shortened correct (B),em-dash trim (with parenthetical),Positive reinforcement—adding a desirable consequence (praise) to increase hand-raising behavior,Positive reinforcement (adding a desirable consequence),86
5,PQ_MBH-03_5,Shortened correct (C),em-dash trim (with parenthetical),Extinction—removing the reinforcing consequence (teacher attention) maintaining the behavior,Extinction (removing the reinforcing consequence),78
5,PQ_MBH-03_7,Shortened correct (C),parenthetical trim,"Teaching a sequence of separate behaviors linked together toward a goal (e.g., task sequence: gather materials → read instructions → begin task)",Teaching a sequence of separate behaviors linked together toward a goal.,105
5,PQ_MBH-03_8,Shortened correct (B),em-dash trim (with parenthetical),Token economy—using conditioned reinforcers (tokens) paired with backup reinforcers (preferred activities) to shape behavior,Token economy (using conditioned reinforcers),110
6,PQ_MBH-03_11,Shortened correct (B),em-dash trim (with parenthetical),Reflective listening—demonstrating understanding of the client's ambivalence (wanting to but struggling),Reflective listening (demonstrating understanding of the client's ambivalence),73
6,PQ_MBH-03_13,Shortened correct (B),em-dash trim (with parenthetical),Cognitive-behavioral—incorporating both cognitive strategies (self-talk) and behavioral change,Cognitive-behavioral (incorporating both cognitive strategies),64
6,PQ_MBH-03_14,Shortened correct (B),em-dash trim,"Applied Behavior Analysis (ABA)—using reinforcement, clear expectations, and data-based decision-making to improve behavior systematically",Applied Behavior Analysis (ABA),109
6,PQ_MBH-03_16,Shortened correct (B),em-dash trim (with parenthetical),Contingency contract—a formal agreement specifying behavior expectations and consequences,Contingency contract (a formal agreement specifying behavior expectations and consequences),64
6,PQ_MBH-03_16,Expanded distractor (A),distractor expansion,Free-choice reinforcement,"Free-choice reinforcement, which is not supported by the available evidence.",66
6,PQ_MBH-03_16,Expanded distractor (C),distractor expansion,Random reinforcement,"Random reinforcement, which is not supported by the available evidence.",66
6,PQ_MBH-03_16,Expanded distractor (D),distractor expansion,Punishment system,"Punishment system, which is not supported by the available evidence.",66
6,PQ_MBH-03_18,Shortened correct (B),em-dash trim (with parenthetical),Scaling question—quantifying progress and envisioning movement toward goals; tracking progress over time,Scaling question (quantifying progress and envisioning movement toward),64
6,PQ_MBH-03_19,Shortened correct (B),semicolon trim,"CBT focuses on cognitive change; ABA focuses on behavior change; both can be integrated, with CBT addressing thoughts/emotions and ABA shaping observable behaviors",CBT focuses on cognitive change,113
6,PQ_MBH-03_20,Shortened correct (C),em-dash trim (with parenthetical),Psychological flexibility—accepting internal experiences while pursuing valued goals and actions,Psychological flexibility (accepting internal experiences while pursuing valued goals and actions),56
6,PQ_MBH-03_20,Expanded distractor (A),distractor expansion,Behavioral avoidance of anxiety,"Behavioral avoidance of anxiety, without adequate clinical justification.",58
6,PQ_MBH-03_20,Expanded distractor (B),distractor expansion,Complete elimination of anxiety symptoms,"Complete elimination of anxiety symptoms, without adequate clinical justification.",58
6,PQ_MBH-03_20,Expanded distractor (D),distractor expansion,Ignoring anxiety,"Ignoring anxiety, which is not supported by the available evidence.",58
6,PQ_MBH-04_2,Shortened correct (B),em-dash trim,Autism Spectrum Disorder (ASD)—characterized by social communication deficits and restricted/repetitive behaviors,Autism Spectrum Disorder (ASD),84
6,PQ_MBH-04_3,Shortened correct (B),semicolon trim,"Educate the student about anxiety physiology; teach cognitive and behavioral coping strategies (relaxation, thought challenging); gradually expose to feared situations; coordinate with parents",Educate the student about anxiety physiology,117
6,PQ_MBH-04_4,Shortened correct (B),semicolon trim,"Depression and ADHD can co-occur; depressed children show reduced motivation and low mood, while ADHD children show inattention/impulse control deficits; distinguishing them is important for treatment",Depression and ADHD can co-occur,116
6,PQ_MBH-04_5,Shortened correct (A),em-dash trim,"Oppositional Defiant Disorder (ODD)—characterized by persistent pattern of argumentativeness, defiance, anger, and vindictiveness",Oppositional Defiant Disorder (ODD),108
6,PQ_MBH-04_6,Shortened correct (C),em-dash trim,"Systematic desensitization or graded exposure—gradually exposing the child to dogs (starting with pictures/videos, progressing to real dogs at a distance, etc.) while teaching coping skills",Systematic desensitization or graded exposure,110
6,PQ_MBH-04_7,Shortened correct (C),em-dash trim (with parenthetical),"Separation Anxiety Disorder—excessive anxiety about separation from attachment figures, anticipatory anxiety about harm befalling them",Separation Anxiety Disorder (excessive anxiety about separation from attachment figures),106
6,PQ_MBH-04_7,Expanded distractor (A),distractor expansion,Specific Phobia,"Specific Phobia, which is not supported by the available evidence.",60
6,PQ_MBH-04_7,Expanded distractor (B),distractor expansion,Social Anxiety Disorder,"Social Anxiety Disorder, which is not supported by the available evidence.",60
6,PQ_MBH-04_7,Expanded distractor (D),distractor expansion,Generalized Anxiety Disorder,"Generalized Anxiety Disorder, which is not supported by the available evidence.",60
6,PQ_MBH-04_8,Shortened correct (B),semicolon trim,Major Depressive Disorder (MDD) if symptoms meet duration and severity criteria; assessment for suicidality is critical; treatment with evidence-based interventions is indicated,Major Depressive Disorder (MDD) if symptoms meet duration and severity criteria,125
6,PQ_MBH-04_10,Shortened correct (B),em-dash trim (with parenthetical),Conduct Disorder—repeated violation of others' rights and rules; callous/unemotional traits may be present,Conduct Disorder (repeated violation of others' rights),72
6,PQ_MBH-04_11,Shortened correct (B),em-dash trim,"Post-Traumatic Stress Disorder (PTSD)—characterized by intrusive memories, hyperarousal, avoidance, and negative cognitions following trauma exposure",Post-Traumatic Stress Disorder (PTSD),97
6,PQ_MBH-04_12,Shortened correct (B),em-dash trim,"Reactive Attachment Disorder (RAD)—severely inhibited attachment behaviors, minimal social emotional responsiveness, limited seeking of comfort due to severely deprived caregiving history",Reactive Attachment Disorder (RAD),149
6,PQ_MBH-04_13,Expanded distractor (A),distractor expansion,Low IQ alone is sufficient for diagnosis,"Low IQ alone is sufficient for diagnosis, which does not apply in this clinical context.",134
6,PQ_MBH-04_13,Expanded distractor (B),distractor expansion,IQ below 70 is the only criterion,"IQ below 70 is the only criterion, which does not apply in this clinical context.",134
6,PQ_MBH-04_13,Expanded distractor (D),distractor expansion,ID only occurs in children under age 6,"ID only occurs in children under age 6, without adequate clinical justification.",134
6,PQ_MBH-04_14,Shortened correct (B),em-dash trim,"Specific Learning Disorder (SLD) in Reading—despite adequate intelligence and instruction, persistent difficulty with reading accuracy and fluency",Specific Learning Disorder (SLD) in Reading,99
6,PQ_MBH-04_15,Shortened correct (B),em-dash trim (with parenthetical),"Selective Mutism—consistent failure to speak in specific social situations (school, unfamiliar people) despite ability to speak in other contexts, lasting ≥1 month",Selective Mutism (consistent failure to speak in specific social situations),145
6,PQ_MBH-04_15,Expanded distractor (A),distractor expansion,Specific Phobia,"Specific Phobia, which is not supported by the available evidence.",58
6,PQ_MBH-04_15,Expanded distractor (C),distractor expansion,Language Disorder,"Language Disorder, which is not supported by the available evidence.",58
6,PQ_MBH-04_15,Expanded distractor (D),distractor expansion,Hearing impairment,"Hearing impairment, which is not supported by the available evidence.",58
6,PQ_MBH-04_17,Expanded distractor (C),distractor expansion,Ignore disclosures to avoid alarming the student,Ignore disclosures to avoid alarming the student and continue without meaningful modification to the current approach.,109
6,PQ_MBH-04_18,Expanded distractor (D),distractor expansion,Punishment for academic decline,"Punishment for academic decline, without adequate clinical justification.",103
6,PQ_MBH-04_20,Shortened correct (B),semicolon trim,MTSS approach: Tier 1 classroom organization supports; Tier 2 executive functioning interventions; evaluation for special education if insufficient response,MTSS approach: Tier 1 classroom organization supports,89
6,PQ_MBH-05_1,Shortened correct (C),em-dash trim (with parenthetical),Prefrontal cortex (PFC)—particularly the dorsolateral prefrontal cortex,"Prefrontal cortex (PFC), particularly the dorsolateral prefrontal cortex",60
6,PQ_MBH-05_1,Expanded distractor (A),distractor expansion,Amygdala,"The amygdala alone, which primarily governs fear responses and emotional memory.",61
6,PQ_MBH-05_1,Expanded distractor (B),distractor expansion,Hippocampus,"Hippocampus, which is not supported by the available evidence.",61
6,PQ_MBH-05_1,Expanded distractor (D),distractor expansion,Cerebellum,"Cerebellum, which is not supported by the available evidence.",61
6,PQ_MBH-05_2,Shortened correct (B),em-dash trim (with parenthetical),Amygdala—the fear processing center; trauma can lead to amygdala hyperactivity and altered HPA axis function,Amygdala (the fear processing center; trauma can lead),56
6,PQ_MBH-05_3,Shortened correct (B),semicolon trim,"Dopamine system, particularly in the prefrontal cortex and striatum; stimulant medications increase dopamine availability to improve attention and impulse control","Dopamine system, particularly in the prefrontal cortex and striatum",124
6,PQ_MBH-05_4,Shortened correct (C),em-dash trim (with parenthetical),Serotonin system—SSRIs increase serotonin availability in synapses to reduce anxiety and depression symptoms,Serotonin system (SSRIs increase serotonin availability in synapses),80
6,PQ_MBH-05_5,Shortened correct (B),em-dash trim (with parenthetical),"Cortisol—the stress hormone; chronic elevation impairs memory, immune function, and emotional regulation",Cortisol (the stress hormone; chronic elevation impairs memory),63
6,PQ_MBH-05_6,Expanded distractor (C),distractor expansion,Fixed brain structures that cannot be altered,"Fixed brain structures that cannot be altered, without adequate clinical justification.",63
6,PQ_MBH-05_6,Expanded distractor (D),distractor expansion,Only the ability to form new memories,"Only the ability to form new memories, without adequate clinical justification.",63
6,PQ_MBH-05_7,Shortened correct (C),semicolon trim,"The brain is particularly sensitive to environmental input for certain skills (e.g., language, vision); development may be possible later but with greater difficulty","The brain is particularly sensitive to environmental input for certain skills (e.g., language, vision)",107
6,PQ_MBH-05_8,Shortened correct (C),em-dash trim (with parenthetical),Hippocampus—consolidates new memories from short-term to long-term storage; involved in spatial memory,Hippocampus (consolidates new memories from short-term),85
6,PQ_MBH-05_9,Expanded distractor (A),distractor expansion,In the cerebellum,"In the cerebellum, which is not supported by the available evidence.",52
6,PQ_MBH-05_9,Expanded distractor (B),distractor expansion,In the occipital lobe,"In the occipital lobe, which is not supported by the available evidence.",52
6,PQ_MBH-05_9,Expanded distractor (D),distractor expansion,In the amygdala,"In the amygdala, which is not supported by the available evidence.",52
6,PQ_MBH-05_10,Shortened correct (B),semicolon trim,"The left hemisphere typically specializes in language and logical processing; the right hemisphere in spatial, visual, and emotional processing (though both hemispheres contribute to all functions)",The left hemisphere typically specializes in language and logical processing,122
6,PQ_MBH-05_11,Expanded distractor (A),distractor expansion,Part of the limbic system involved in emotion,"Part of the limbic system involved in emotion, without adequate clinical justification.",70
6,PQ_MBH-05_11,Expanded distractor (C),distractor expansion,A region involved exclusively in memory,"A region involved exclusively in memory, without adequate clinical justification.",70
6,PQ_MBH-05_11,Expanded distractor (D),distractor expansion,Responsible for motor control,"Responsible for motor control, which is not supported by the available evidence.",70
6,PQ_MBH-05_12,Shortened correct (C),semicolon trim,Environmental factors can activate or silence genes without changing DNA sequence; gene-environment interaction shapes development,Environmental factors can activate or silence genes without changing DNA sequence,68
6,PQ_MBH-05_13,Shortened correct (B),em-dash trim,"ADHD, autism spectrum disorder, and depression—all show moderate to high heritability with environmental modifiers","ADHD, autism spectrum disorder, and depression",58
6,PQ_MBH-05_14,Expanded distractor (C),distractor expansion,Depressing the central nervous system,"Depressing the central nervous system, without adequate clinical justification.",68
6,PQ_MBH-05_14,Expanded distractor (D),distractor expansion,Directly punishing hyperactivity,"Directly punishing hyperactivity, without adequate clinical justification.",68
6,PQ_MBH-05_15,Shortened correct (C),em-dash trim,Selective serotonin reuptake inhibitors (SSRIs)—blocking serotonin reuptake to increase serotonin availability in synapses,Selective serotonin reuptake inhibitors (SSRIs),77
6,PQ_MBH-05_16,Shortened correct (B),semicolon trim,"Insufficient serotonin and/or norepinephrine; the monoamine hypothesis suggests depression involves decreased serotonin, dopamine, and/or norepinephrine",Insufficient serotonin and/or norepinephrine,121
6,PQ_MBH-05_17,Shortened correct (B),semicolon trim,"Adequate sleep supports memory consolidation, emotional regulation, and prefrontal cortex functioning; sleep deprivation impairs attention, impulse control, and mood","Adequate sleep supports memory consolidation, emotional regulation, and prefrontal cortex functioning",114
6,PQ_MBH-05_17,Expanded distractor (C),distractor expansion,Only teenagers need sleep,"Only teenagers need sleep, which is not supported by the available evidence.",50
6,PQ_MBH-05_17,Expanded distractor (D),distractor expansion,Sleep quality is irrelevant; only quantity matters,"Sleep quality is irrelevant; only quantity matters, which does not apply in this clinical context.",50
6,PQ_MBH-05_18,Shortened correct (C),semicolon trim,"Motor coordination, balance, and cerebellar cognitive functions (timing, attention); also influences emotional regulation through connections to the prefrontal cortex","Motor coordination, balance, and cerebellar cognitive functions (timing, attention)",145
6,PQ_MBH-05_18,Expanded distractor (A),distractor expansion,Language production,"Language production, which is not supported by the available evidence.",62
6,PQ_MBH-05_18,Expanded distractor (B),distractor expansion,Emotional processing,"Emotional processing, which is not supported by the available evidence.",62
6,PQ_MBH-05_18,Expanded distractor (D),distractor expansion,Memory formation only,"Memory formation only, which is not supported by the available evidence.",62
6,PQ_MBH-05_19,Expanded distractor (C),distractor expansion,Puberty has no effect on the brain,"Puberty has no effect on the brain, without adequate clinical justification.",125
6,PQ_MBH-05_19,Expanded distractor (D),distractor expansion,Adolescent risk-taking is always pathological,"Adolescent risk-taking is always pathological, which does not apply in this clinical context.",125
6,PQ_MBH-05_20,Shortened correct (B),semicolon trim,"Trauma-related changes in the hippocampus (memory/stress regulation) and HPA axis, leading to memory difficulties and heightened threat reactivity; neuroplasticity suggests these changes can be partially reversed with treatment","Trauma-related changes in the hippocampus (memory/stress regulation) and HPA axis, leading to memory difficulties and heightened threat reactivity",184
6,PQ_MBH-05_20,Expanded distractor (A),distractor expansion,Trauma has no effect on brain structure,"Trauma has no effect on brain structure, without adequate clinical justification.",103
6,PQ_MBH-05_20,Expanded distractor (C),distractor expansion,Only adults' brains are affected by trauma,"Only adults' brains are affected by trauma, which does not apply in this clinical context.",103
6,PQ_MBH-05_20,Expanded distractor (D),distractor expansion,"Trauma affects only behavior, not the brain","Trauma affects only behavior, not the brain, without adequate clinical justification.",103
6,PQ_FAM-03_12,Shortened correct (B),while-maintaining trim,"Sharing observations with CPS, cooperating with investigations, and coordinating education services while maintaining appropriate confidentiality","Sharing observations with CPS, cooperating with investigations, and coordinating education services.",70
7,PQ_SAF-01_5,Shortened correct (C),semicolon trim,Bullying involves power imbalance and repetition with intent to harm; conflict involves peers of equal power with disagreement,Bullying involves power imbalance and repetition with intent to harm,56
7,PQ_SAF-01_16,Shortened correct (A),semicolon trim,"Character education focuses on values; SEL focuses on skills and competencies across cognitive, affective, and behavioral domains",Character education focuses on values,61
7,PQ_SAF-03_3,Expanded distractor (A),distractor expansion,To avoid consequences for students making threats,"To avoid consequences for students making threats, without adequate clinical justification.",54
7,PQ_SAF-03_3,Expanded distractor (C),distractor expansion,To report all threats to law enforcement,"To report all threats to law enforcement, without adequate clinical justification.",54
7,PQ_SAF-03_3,Expanded distractor (D),distractor expansion,To identify students who need exclusion,"To identify students who need exclusion, without adequate clinical justification.",54
7,PQ_SAF-03_4,Expanded distractor (A),distractor expansion,School principal and school resource officer only,"School principal and school resource officer only, without adequate clinical justification.",51
7,PQ_SAF-03_4,Expanded distractor (D),distractor expansion,"Teachers and support staff, excluding administration","Teachers and support staff, excluding administration, requiring no further assessment or action.",51
7,PQ_SAF-03_9,Expanded distractor (D),distractor expansion,The distinction is arbitrary and depends on school policy,"The distinction is arbitrary and depends on school policy, which does not apply in this clinical context.",73
7,PQ_SAF-03_13,Shortened correct (C),semicolon trim,"While mental health assessment is relevant, mental illness alone does not predict violence; other factors (access, intent, capability) are more important","While mental health assessment is relevant, mental illness alone does not predict violence",88
7,PQ_SAF-03_15,Expanded distractor (A),distractor expansion,Only an admission of intent to harm,"Only an admission of intent to harm, without adequate clinical justification.",57
7,PQ_SAF-03_15,Expanded distractor (C),distractor expansion,School grades and disciplinary history only,"School grades and disciplinary history only, without adequate clinical justification.",57
7,PQ_SAF-03_18,Expanded distractor (A),distractor expansion,No further action since it was low risk,"No further action since it was low risk, under any clinical or educational circumstance.",57
7,PQ_SAF-03_18,Expanded distractor (D),distractor expansion,Permanent exclusion from school despite low risk,"Permanent exclusion from school despite low risk, without adequate clinical justification.",57
7,PQ_SAF-04_6,Expanded distractor (B),distractor expansion,To identify students who will not be picked up,"To identify students who will not be picked up, without adequate clinical justification.",80
7,PQ_SAF-04_6,Expanded distractor (C),distractor expansion,To prevent students from leaving school grounds,"To prevent students from leaving school grounds, without adequate clinical justification.",80
7,PQ_SAF-04_6,Expanded distractor (D),distractor expansion,To conduct interviews about the incident,"To conduct interviews about the incident, without adequate clinical justification.",80
7,PQ_SAF-04_10,Expanded distractor (A),distractor expansion,Refer all affected students to community agencies,"Refer all affected students to community agencies immediately, before exhausting less intensive intervention options.",62
7,PQ_SAF-04_10,Expanded distractor (D),distractor expansion,Wait for community agencies to contact the school,"Wait for community agencies to contact the school, without adequate clinical justification.",62
7,PQ_SAF-04_12,Shortened correct (B),while-maintaining trim,Identifying and supporting students at highest risk while maintaining school-wide support to prevent secondary trauma and contagion,Identifying and supporting students at highest risk.,63
7,PQ_SAF-04_14,Expanded distractor (A),distractor expansion,Only immediate safety concerns,"Only immediate safety concerns, without adequate clinical justification.",70
7,PQ_SAF-04_14,Expanded distractor (C),distractor expansion,Investigating blame and punishment,"Investigating blame and punishment, without adequate clinical justification.",70
7,PQ_SAF-04_14,Expanded distractor (D),distractor expansion,Minimizing public awareness of the incident,"Minimizing public awareness of the incident, without adequate clinical justification.",70
7,PQ_SAF-04_15,Expanded distractor (C),distractor expansion,Focusing only on academic catch-up,"Focusing only on academic catch-up, without adequate clinical justification.",62
7,PQ_SAF-04_15,Expanded distractor (D),distractor expansion,Waiting for families to request support,"Waiting for families to request support, without adequate clinical justification.",62
7,PQ_SAF-04_16,Expanded distractor (A),distractor expansion,Prohibit all memorials to prevent contagion,"Prohibit all memorials to prevent contagion, without adequate clinical justification.",70
7,PQ_SAF-04_16,Expanded distractor (B),distractor expansion,Allow unlimited memorials to honor the student,"Allow unlimited memorials to honor the student, without adequate clinical justification.",70
7,PQ_SAF-04_17,Expanded distractor (A),distractor expansion,Coincidence; crises do not cause depression,"Coincidence; crises do not cause depression, without adequate clinical justification.",50
7,PQ_SAF-04_17,Expanded distractor (B),distractor expansion,The teacher is exaggerating the response,"The teacher is exaggerating the response, which does not apply in this clinical context.",50
7,PQ_SAF-04_17,Expanded distractor (D),distractor expansion,Students are faking symptoms for attention,"Students are faking symptoms for attention, requiring no further assessment or action.",50
7,PQ_SAF-04_18,Expanded distractor (A),distractor expansion,Never; crisis planning is adult responsibility only,"Never; crisis planning is adult responsibility only, which does not apply in this clinical context.",51
7,PQ_SAF-04_18,Expanded distractor (C),distractor expansion,Only after a crisis occurs,"Only after a crisis occurs, which is not supported by the available evidence.",51
