id,templateId,skillId,"domain",stem,choiceA,choiceB,choiceC,choiceD,correctLetter,correctText,"choiceLengths","correctLength","lengthRatios",flags,source
SP5403_Q079,,NEW-8-SocialJustice,Diversity,"A school psychologist is evaluating a student who may have an intellectual disability. Which of the following criteria must be met for this diagnosis?","Significant limitations in intellectual functioning only","Significant limitations in adaptive behavior only","Significant limitations in both intellectual functioning and adaptive behavior with onset during the developmental period","IQ score below 70 regardless of adaptive functioning",C,"Significant limitations in both intellectual functioning and adaptive behavior with onset during the developmental period",A=56|B=49|C=121|D=52,121.00,A=0.46|B=0.40|C=1.00|D=0.43,"irrelevant-domain, length-mismatch",ETS
SP5403_Q080,,DBDM-S06,DBDM,"Which of the following is a key characteristic of criterion-referenced tests?","They compare a student's performance to a normative sample.","They assess mastery of specific skills or content standards.","They are typically administered once per year.","They require standardized administration procedures.",B,"They assess mastery of specific skills or content standards.",A=59|B=60|C=46|D=52,60.00,A=0.98|B=1.00|C=0.77|D=0.87,"none",ETS
SP5403_Q081,,MBH-S06,Academic,"A school psychologist is working with a student who has been bullied. Which of the following is the most appropriate intervention approach?","Telling the student to ignore the bullying","Working with both the student who was bullied and those who engaged in bullying","Moving the student who was bullied to a different classroom","Recommending the student who was bullied receive training in self-defense",B,"Working with both the student who was bullied and those who engaged in bullying",A=42|B=79|C=59|D=73,79.00,A=0.53|B=1.00|C=0.75|D=0.92,"none",ETS
SP5403_Q082,,DBDM-S03,DBDM,"Which of the following cognitive processes is most directly related to a student's ability to solve novel problems?","Processing speed","Working memory","Fluid reasoning","Long-term retrieval",C,"Fluid reasoning",A=16|B=14|C=15|D=19,15.00,A=1.07|B=0.93|C=1.00|D=1.27,"none",ETS
SP5403_Q083,,SWP-S02,"Prevention","A school psychologist is presenting at a staff meeting on the topic of trauma-informed practices. Which of the following is a key principle of trauma-informed care?","All students who have experienced trauma need individual therapy","Creating safe, predictable environments that support emotional regulation","Requiring students to discuss their traumatic experiences in group settings","Using punishment-based approaches to address trauma-related behaviors",B,"Creating safe, predictable environments that support emotional regulation",A=64|B=73|C=75|D=69,73.00,A=0.88|B=1.00|C=1.03|D=0.95,"none",ETS
SP5403_Q084,,RES-S01,Research,"Which of the following best describes a Type I error in research?","Concluding there is no effect when there actually is one","Concluding there is an effect when there actually is not one","Using an inappropriate statistical test","Having too small a sample size",B,"Concluding there is an effect when there actually is not one",A=56|B=60|C=39|D=30,60.00,A=0.93|B=1.00|C=0.65|D=0.50,"none",ETS
SP5403_Q085,,ACAD-S05,DBDM,"A school psychologist is working with a student who has autism spectrum disorder. The student becomes very upset when routines are changed. Which of the following strategies would be most helpful?","Eliminating all changes to the student's routine","Providing advance notice and visual supports before changes occur","Ignoring the student's distress until it passes","Requiring the student to adapt to changes without support",B,"Providing advance notice and visual supports before changes occur",A=48|B=65|C=47|D=57,65.00,A=0.74|B=1.00|C=0.72|D=0.88,"none",ETS
SP5403_Q086,,FSC-S03,DBDM,"Which of the following is the primary purpose of an IEP progress report?","To determine whether the student still qualifies for special education","To document the student's progress toward annual IEP goals","To compare the student's performance to that of peers","To identify new goals for the upcoming year",B,"To document the student's progress toward annual IEP goals",A=70|B=58|C=53|D=43,58.00,A=1.21|B=1.00|C=0.91|D=0.74,"none",ETS
SP5403_Q087,,SWP-S03,Academic,"A school psychologist is working with a student who has selective mutism. Which of the following interventions would be most appropriate?","Requiring the student to speak in all situations","Using a graduated exposure approach to increase verbal communication","Allowing the student to communicate only in writing","Removing the student from social situations",B,"Using a graduated exposure approach to increase verbal communication",A=48|B=68|C=51|D=43,68.00,A=0.71|B=1.00|C=0.75|D=0.63,"none",ETS
SP5403_Q088,,PC-S04,DBDM,"Which of the following is the most important factor in determining whether an intervention should be continued?","Whether the teacher likes implementing the intervention","Whether the student's progress monitoring data show improvement","Whether the intervention is research-based","Whether the intervention was recommended by an outside expert",B,"Whether the student's progress monitoring data show improvement",A=55|B=63|C=42|D=61,63.00,A=0.87|B=1.00|C=0.67|D=0.97,"none",ETS
SP5403_Q089,,LEG-S03,Academic,"A school psychologist is facilitating a problem-solving meeting. The team has identified that a student is struggling with reading fluency. Which of the following should the team do next?","Select an intervention from a list of evidence-based programs","Analyze the student's specific reading error patterns","Refer the student for special education evaluation","Recommend the student for retention",B,"Analyze the student's specific reading error patterns",A=61|B=53|C=50|D=35,53.00,A=1.15|B=1.00|C=0.94|D=0.66,"none",ETS
SP5403_Q090,,LEG-S01,DBDM,"Which of the following best describes the principle of least restrictive environment (LRE)?","Students with disabilities should receive all services in the general education classroom.","Students with disabilities should be educated with nondisabled peers to the maximum extent appropriate.","Students with disabilities should receive services in specialized settings.","Students with disabilities should be grouped together for instruction.",B,"Students with disabilities should be educated with nondisabled peers to the maximum extent appropriate.",A=90|B=103|C=75|D=70,103.00,A=0.87|B=1.00|C=0.73|D=0.68,"none",ETS
SP5403_Q091,,DBDM-S03,Academic,"A school psychologist administers an achievement test to a student. The student earns a standard score of 85 in reading comprehension. This score falls in which range?",Below average,Average,Above average,"Significantly below average",B,Average,A=13|B=7|C=13|D=27,7.00,A=1.86|B=1.00|C=1.86|D=3.86,"length-mismatch",ETS
SP5403_Q092,,NEW-9-DescriptiveStats,DBDM,"Which of the following is the best example of a social validity measure?","Measuring how many times a behavior occurs","Surveying teachers about whether they find an intervention acceptable and useful","Calculating effect sizes from research studies","Administering a standardized behavior rating scale",B,"Surveying teachers about whether they find an intervention acceptable and useful",A=42|B=80|C=46|D=50,80.00,A=0.53|B=1.00|C=0.57|D=0.63,"none",ETS
SP5403_Q093,,"NEW-3-InstructionalHierarchy",Academic,"A school psychologist is working with a student who has a specific learning disability in math. The student struggles with math fact fluency but understands mathematical concepts. Which of the following accommodations would be most appropriate?","Reducing the number of math problems assigned","Allowing the student to use a calculator for computation","Providing the student with a modified math curriculum","Excusing the student from math class",B,"Allowing the student to use a calculator for computation",A=45|B=56|C=53|D=36,56.00,A=0.80|B=1.00|C=0.95|D=0.64,"none",ETS
SP5403_Q094,,DBDM-S08,DBDM,"Which of the following is a primary characteristic of effective progress monitoring?","It is administered at the beginning and end of the school year.","It is administered frequently using standardized procedures.","It compares student performance to grade-level expectations.","It provides detailed diagnostic information about specific skills.",B,"It is administered frequently using standardized procedures.",A=63|B=60|C=60|D=66,60.00,A=1.05|B=1.00|C=1.00|D=1.10,"none",ETS
SP5403_Q095,,SWP-S02,DBDM,"A school psychologist is reviewing data from a schoolwide positive behavior intervention and support (PBIS) program. Which of the following metrics would be most useful for evaluating program effectiveness?","Number of students referred for special education","Office discipline referrals and suspensions","Scores on standardized achievement tests","Teacher satisfaction surveys",B,"Office discipline referrals and suspensions",A=49|B=43|C=40|D=28,43.00,A=1.14|B=1.00|C=0.93|D=0.65,"none",ETS
SP5403_Q096,,MBH-S04,Legal/Ethics,"Which of the following is the most appropriate response when a student discloses abuse to a school psychologist?","Promising the student that the information will be kept confidential","Reporting the disclosure to child protective services as mandated by law","Investigating the allegation before making any report","Asking the student to write a detailed account of what happened",B,"Reporting the disclosure to child protective services as mandated by law",A=68|B=72|C=53|D=63,72.00,A=0.94|B=1.00|C=0.74|D=0.88,"none",ETS
SP5403_Q097,,"NEW-10-EducationLaw",Academic,"A school psychologist is consulting with a teacher who reports that a student frequently engages in attention-seeking behavior. Which of the following interventions would be most appropriate?","Ignoring all of the student's behavior","Providing attention for appropriate behavior and minimizing attention for inappropriate behavior","Sending the student to the office when attention-seeking behavior occurs","Providing more individual attention to prevent the behavior",B,"Providing attention for appropriate behavior and minimizing attention for inappropriate behavior",A=38|B=96|C=72|D=59,96.00,A=0.40|B=1.00|C=0.75|D=0.61,"irrelevant-domain, length-mismatch",ETS
SP5403_Q098,,DBDM-S05,DBDM,"Which of the following assessment approaches would be most appropriate for evaluating a preschool child's development?","Standardized intelligence testing with verbal and nonverbal subtests","Developmental screening followed by comprehensive evaluation if concerns are identified","Academic achievement testing","Self-report questionnaires about social-emotional functioning",B,"Developmental screening followed by comprehensive evaluation if concerns are identified",A=68|B=87|C=28|D=61,87.00,A=0.78|B=1.00|C=0.32|D=0.70,"irrelevant-domain, length-mismatch",ETS
SP5403_Q099,,ACAD-S03,Academic,"A school psychologist is working with a student who has experienced a traumatic event. The student has been having nightmares and flashbacks. Which of the following interventions would be most appropriate?","Requiring the student to describe the traumatic event in detail","Referring the student to a trauma-focused mental health specialist","Telling the student to try not to think about what happened","Focusing only on academic performance",B,"Referring the student to a trauma-focused mental health specialist",A=63|B=66|C=59|D=37,66.00,A=0.95|B=1.00|C=0.89|D=0.56,"none",ETS
SP5403_Q100,,SWP-S01,Legal/Ethics,"Which of the following is a key ethical principle that guides school psychologists' practice?","Maximizing assessment revenue for the school district","Acting in the best interests of children","Prioritizing the preferences of teachers over parents","Maintaining strict confidentiality in all circumstances",B,"Acting in the best interests of children",A=53|B=40|C=53|D=55,40.00,A=1.32|B=1.00|C=1.32|D=1.38,"none",ETS
SP5403_Q101,,"NEW-7-BarriersToEngagement",Academic,"A school psychologist is developing an intervention for a student who has difficulty organizing homework assignments. Which of the following would be the most effective strategy?","Having the teacher reduce the amount of homework assigned","Teaching the student to use a planner and organizational system","Requiring the student's parents to check homework each night","Having the student complete all homework at school",B,"Teaching the student to use a planner and organizational system",A=57|B=63|C=60|D=50,63.00,A=0.90|B=1.00|C=0.95|D=0.79,"none",ETS
SP5403_Q102,,PC-S03,DBDM,"Which of the following best describes the purpose of a systematic review?","To provide an expert opinion on a topic","To synthesize research evidence using explicit and reproducible methods","To describe findings from a single research study","To generate new research hypotheses",B,"To synthesize research evidence using explicit and reproducible methods",A=39|B=71|C=49|D=35,71.00,A=0.55|B=1.00|C=0.69|D=0.49,"length-mismatch",ETS
SP5403_Q103,,LEG-S06,Family,"A school psychologist is working with a family from a collectivist culture. Which of the following would be most important to consider?","Communicating directly with the student without involving the family","Including extended family members in discussions about the student's education","Expecting the student to advocate independently for their needs","Focusing exclusively on individual student outcomes",B,"Including extended family members in discussions about the student's education",A=68|B=78|C=63|D=51,78.00,A=0.87|B=1.00|C=0.81|D=0.65,"none",ETS
SP5403_Q104,,"NEW-2-CommunicationStrategies",C&C,"Which of the following is the best way to establish a positive working relationship with a resistant teacher during consultation?","Emphasizing the school psychologist's expertise","Listening to the teacher's concerns and acknowledging their perspective","Telling the teacher what strategies must be implemented","Suggesting that the principal mandate the teacher's participation",B,"Listening to the teacher's concerns and acknowledging their perspective",A=47|B=71|C=55|D=65,71.00,A=0.66|B=1.00|C=0.77|D=0.92,"irrelevant-domain",ETS
SP5403_Q105,,"NEW-8-LanguageAcquisition",MBH,"A school psychologist is interpreting the results of a behavior rating scale. Two teachers rated the same student, and their ratings were significantly different. Which of the following is the most appropriate interpretation?","One of the teachers is incorrect.","The behavior may vary across settings or contexts.","The rating scale is not reliable.","The student has multiple behavior disorders.",B,"The behavior may vary across settings or contexts.",A=33|B=50|C=33|D=44,50.00,A=0.66|B=1.00|C=0.66|D=0.88,"none",ETS
SP5403_Q106,,"NEW-2-ProblemSolvingSteps",Research,"Which of the following is a primary advantage of using multiple regression in research?","It determines causation between variables.","It allows examination of the relationship between one outcome and multiple predictors.","It eliminates the need for control groups.","It is easier to compute than correlation.",B,"It allows examination of the relationship between one outcome and multiple predictors.",A=42|B=86|C=42|D=41,86.00,A=0.49|B=1.00|C=0.49|D=0.48,"irrelevant-domain, length-mismatch",ETS
SP5403_Q107,,"NEW-10-RecordKeeping","Prevention","A school psychologist is asked to help develop a school crisis response plan. Which of the following should be included?","A plan that addresses only natural disasters","Comprehensive procedures for various types of crises including communication and recovery","A plan developed solely by the school psychologist","A plan that focuses only on immediate response, not prevention or recovery",B,"Comprehensive procedures for various types of crises including communication and recovery",A=44|B=89|C=50|D=74,89.00,A=0.49|B=1.00|C=0.56|D=0.83,"length-mismatch",ETS
SP5403_Q108,,"NEW-4-GroupCounseling",Academic,"Which of the following is the most important consideration when selecting an academic intervention for a student?","Whether the intervention is new and innovative","Whether research evidence supports the intervention's effectiveness for the student's identified needs","Whether the intervention is recommended by other school psychologists","Whether the intervention requires minimal teacher training",B,"Whether research evidence supports the intervention's effectiveness for the student's identified needs",A=46|B=102|C=69|D=58,102.00,A=0.45|B=1.00|C=0.68|D=0.57,"length-mismatch",ETS
SP5403_Q109,,LEG-S01,Diversity,"A school psychologist notices that their own cultural background differs significantly from that of a student they are evaluating. Which of the following is the most appropriate action?","Asking another psychologist with a similar background to the student to conduct the evaluation","Proceeding with the evaluation while being mindful of potential cultural influences on assessment","Using only tests developed in the student's culture of origin","Ignoring cultural differences to maintain objectivity",B,"Proceeding with the evaluation while being mindful of potential cultural influences on assessment",A=94|B=97|C=61|D=53,97.00,A=0.97|B=1.00|C=0.63|D=0.55,"none",ETS
SP5403_Q110,,DBDM-S01,DBDM,"Which of the following is the best example of interrater reliability?","A student receives similar scores when tested on two different days.","Two observers recording the same behavior at the same time obtain similar data.",A test measures what it is supposed to measure.,"Different items on a test measure the same construct.",B,"Two observers recording the same behavior at the same time obtain similar data.",A=68|B=79|C=47|D=53,79.00,A=0.86|B=1.00|C=0.59|D=0.67,"none",ETS
SP5403_Q111,,NEW-5-SchoolClimate,MBH,"A school psychologist is working with a student who has test anxiety. Which of the following techniques would be most appropriate to teach the student?","Avoiding tests whenever possible","Relaxation and positive self-talk strategies","Requesting that tests be given orally instead","Having a parent present during testing",B,"Relaxation and positive self-talk strategies",A=32|B=44|C=45|D=38,44.00,A=0.73|B=1.00|C=1.02|D=0.86,"none",ETS
SP5403_Q112,,ACAD-S02,Family,"Which of the following is a key component of effective parent-school communication?","Limiting contact to formal meetings only","Using jargon to demonstrate professional expertise","Establishing regular, two-way communication channels","Communicating primarily through written reports",C,"Establishing regular, two-way communication channels",A=40|B=50|C=52|D=47,52.00,A=0.77|B=0.96|C=1.00|D=0.90,"none",ETS
SP5403_Q113,,MBH-S06,Academic,"A school psychologist is reviewing research on an intervention program. The study reports a statistically significant effect with p < .05. Which of the following is the most appropriate interpretation?","The intervention will work for 95% of students.","There is less than a 5% probability that the observed effect occurred by chance.","The intervention has a large practical effect.","The results are clinically meaningful.",B,"There is less than a 5% probability that the observed effect occurred by chance.",A=47|B=80|C=46|D=38,80.00,A=0.59|B=1.00|C=0.57|D=0.47,"irrelevant-domain, length-mismatch",ETS
SP5403_Q114,,RES-S01,Legal/Ethics,"Which of the following is the most appropriate way for a school psychologist to address a situation where they realize they may have made an error during an evaluation?","Ignoring the error if it seems minor","Acknowledging the error and taking steps to correct it","Completing the evaluation without mentioning the error","Waiting to see if anyone notices the error",B,"Acknowledging the error and taking steps to correct it",A=36|B=54|C=54|D=42,54.00,A=0.67|B=1.00|C=1.00|D=0.78,"none",ETS
SP5403_Q115,,"NEW-3-MetacognitiveStrategies",Academic,"A school psychologist is working with a student diagnosed with depression. Which of the following school-based interventions would be most appropriate?","Prescribing antidepressant medication","Implementing cognitive-behavioral strategies and monitoring mood","Reducing academic expectations","Isolating the student from peers",B,"Implementing cognitive-behavioral strategies and monitoring mood",A=37|B=64|C=30|D=32,64.00,A=0.58|B=1.00|C=0.47|D=0.50,"length-mismatch",ETS
SP5403_Q116,,CC-S03,Academic,"Which of the following is the best way for a school psychologist to stay current with evidence-based practices?","Relying solely on information from colleagues","Engaging in ongoing professional development and reading peer-reviewed research","Using the same assessment and intervention approaches learned in graduate school","Attending only state-mandated training sessions",B,"Engaging in ongoing professional development and reading peer-reviewed research",A=45|B=79|C=80|D=47,79.00,A=0.57|B=1.00|C=1.01|D=0.59,"none",ETS
SP5403_Q117,,NEW-7-FamilySystems,Legal/Ethics,"A school psychologist is evaluating a student for possible emotional disturbance. Which of the following characteristics must be present for this classification under IDEA?","An inability to learn that cannot be explained by intellectual, sensory, or health factors","A medical diagnosis of a mental health disorder","Aggressive behavior toward peers and adults","Failure to respond to behavioral interventions",A,"An inability to learn that cannot be explained by intellectual, sensory, or health factors",A=90|B=47|C=43|D=46,90.00,A=1.00|B=0.52|C=0.48|D=0.51,"irrelevant-domain, length-mismatch",ETS
SP5403_Q118,,"NEW-6-BullyingPrevention",MBH,"Which of the following best describes the purpose of a manifestation determination review?","To determine whether a student qualifies for special education","To determine whether a student's behavior was caused by or related to their disability","To develop a behavior intervention plan","To decide whether a student should be suspended",B,"To determine whether a student's behavior was caused by or related to their disability",A=62|B=86|C=39|D=47,86.00,A=0.72|B=1.00|C=0.45|D=0.55,"irrelevant-domain, length-mismatch",ETS
SP5403_Q119,,DIV-S02,MBH,"A school psychologist is working with a teacher who wants to implement a token economy in the classroom. Which of the following is the most important consideration?","Ensuring all students receive the same number of tokens","Defining target behaviors clearly and delivering tokens consistently","Using tokens that have monetary value","Implementing the system for at least one full school year",B,"Defining target behaviors clearly and delivering tokens consistently",A=55|B=68|C=37|D=57,68.00,A=0.81|B=1.00|C=0.54|D=0.84,"none",ETS
SP5403_Q120,,"NEW-10-Supervision",DBDM,"Which of the following is the most appropriate response when a school psychologist identifies a potential conflict of interest in providing services to a student?","Proceeding with services but documenting the conflict","Disclosing the conflict and, if necessary, referring to another professional","Ignoring the conflict if it does not seem serious","Letting the parents decide how to handle the conflict",B,"Disclosing the conflict and, if necessary, referring to another professional",A=53|B=76|C=49|D=53,76.00,A=0.70|B=1.00|C=0.64|D=0.70,"none",ETS
SP5403_Q121,,DBDM-S09,DBDM,"A school psychologist is analyzing universal screening data for a school. Which of the following would be most useful for identifying students who may need Tier 2 support?","Comparing students' scores to grade-level benchmarks","Calculating the overall school average","Reviewing only the scores of students already receiving special education","Looking at last year's data only",A,"Comparing students' scores to grade-level benchmarks",A=52|B=38|C=73|D=32,52.00,A=1.00|B=0.73|C=1.40|D=0.62,"irrelevant-domain",ETS
SP5403_Q122,,LEG-S05,Family,"Which of the following is a key principle of family-centered practice?","Professionals make decisions about services without family input","Families are viewed as partners in planning and decision-making","Services focus exclusively on the child","Communication with families is limited to formal meetings",B,"Families are viewed as partners in planning and decision-making",A=64|B=63|C=39|D=57,63.00,A=1.02|B=1.00|C=0.62|D=0.90,"none",ETS
SP5403_Q123,,DBDM-S03,DBDM,"A school psychologist is interpreting data from a progress monitoring graph. The data show a flat trend line after four weeks of intervention. Which of the following is the most appropriate interpretation?","The intervention is working well","The student is making adequate progress","The intervention may need to be modified or intensified","The student should be referred for special education",C,"The intervention may need to be modified or intensified",A=32|B=39|C=55|D=52,55.00,A=0.58|B=0.71|C=1.00|D=0.95,"none",ETS
SP5403_Q124,,SWP-S04,Academic,"Which of the following is most likely to be considered the best sign of successful implementation of a district-wide Tier 1 system of Positive Behavior Interventions and Supports (PBIS) that will lead to long-term benefits?","The district recreation department posts signs indicating behavior expectations on each sports field.","All schools use the same metrics for success and have consistent teaching strategies.","Local businesses partner with the district to provide incentives for students.","Students can recite the expectations of the program when asked.",B,"All schools use the same metrics for success and have consistent teaching strategies.",A=101|B=85|C=78|D=63,85.00,A=1.19|B=1.00|C=0.92|D=0.74,"none",ETS
SP5403_Q125,,NEW-10-TestSecurity,Family,"Dr. Shor receives paperwork for a new referral for Matthew, a tenth-grade student. Wanting to schedule a meeting to plan evaluations, Dr. Shor asks Matthew if it would be better to call his mother or his father. When Matthew responds that he has two fathers and that it would be fine to call either, Dr. Shor realizes he has made a mistake by assuming Matthew had two opposite-sex parents. Which of the following best describes Dr. Shor's assumption?","An unbiased assumption","An explicitly biased assumption","An implicitly biased assumption","Both an implicitly and explicitly biased assumption",C,"An implicitly biased assumption",A=22|B=31|C=31|D=51,31.00,A=0.71|B=1.00|C=1.00|D=1.65,"none",ETS
SP5403_Q126,,CC-S01,DBDM,"A school psychologist is using behavioral consultation with a teacher to address a student's disruptive classroom behavior. What is the primary characteristic that makes this consultation 'behavioral'?","It focuses on the student's observable behaviors and uses data collection","It addresses the student's emotional and social needs","It improves the teacher's instructional skills","It involves both home and school settings",A,"It focuses on the student's observable behaviors and uses data collection",A=73|B=53|C=46|D=41,73.00,A=1.00|B=0.73|C=0.63|D=0.56,"none",ETS
SP5403_Q127,,CC-S01,DBDM,"A school psychologist is consulting with a teacher who reports that a student seems withdrawn, has difficulty forming peer relationships, and appears anxious. The psychologist focuses on understanding the student's emotional experiences and social dynamics. This best represents which type of consultation?","Behavioral consultation","Mental health consultation","Organizational consultation","Conjoint behavioral consultation",B,"Mental health consultation",A=23|B=26|C=27|D=32,26.00,A=0.88|B=1.00|C=1.04|D=1.23,"none",ETS
SP5403_Q128,,CC-S01,C&C,"A school psychologist notices that a teacher consistently struggles with classroom management across multiple students. The psychologist works with the teacher to improve the teacher's skills and knowledge rather than focusing on individual student problems. This best describes which consultation model?","Behavioral consultation","Consultee-centered consultation","Conjoint behavioral consultation","Organizational consultation",B,"Consultee-centered consultation",A=23|B=31|C=32|D=27,31.00,A=0.74|B=1.00|C=1.03|D=0.87,"none",ETS
SP5403_Q129,,CC-S01,C&C,"A school psychologist facilitates meetings where both parents and teachers work together to address a student's behavior concerns, with interventions implemented in both home and school settings. This best describes which consultation model?","Behavioral consultation","Mental health consultation","Conjoint behavioral consultation","Consultee-centered consultation",C,"Conjoint behavioral consultation",A=23|B=26|C=32|D=31,32.00,A=0.72|B=0.81|C=1.00|D=0.97,"none",ETS
SP5403_Q130,,CC-S01,C&C,"A school psychologist works with the principal and leadership team to implement a school-wide positive behavior support system that affects all students and staff. This consultation is best described as:","Behavioral consultation, because it addresses behavior","Organizational consultation, because it addresses system-wide change","Consultee-centered consultation, because it improves administrator skills","Mental health consultation, because it affects school climate",B,"Organizational consultation, because it addresses system-wide change",A=54|B=68|C=73|D=61,68.00,A=0.79|B=1.00|C=1.07|D=0.90,"none",ETS
SP5403_Q131,,"NEW-2-ConsultationProcess",C&C,"A school psychologist is beginning consultation with a new teacher. The psychologist establishes mutual goals, clarifies roles and expectations, and builds rapport. This represents which stage of consultation?","Problem identification","Entry/Contracting","Problem analysis","Intervention implementation",B,"Entry/Contracting",A=22|B=17|C=16|D=27,17.00,A=1.29|B=1.00|C=0.94|D=1.59,"none",ETS
SP5403_Q132,,"NEW-2-ConsultationProcess",DBDM,"During consultation, a school psychologist helps a teacher define a student's problem by collecting baseline data on how often the behavior occurs, when it occurs, and what it looks like. This activity best represents which stage of consultation?","Entry/Contracting","Problem identification","Problem analysis","Intervention evaluation",B,"Problem identification",A=17|B=22|C=16|D=23,22.00,A=0.77|B=1.00|C=0.73|D=1.05,"none",ETS
SP5403_Q133,,"NEW-2-ConsultationProcess",DBDM,"A school psychologist analyzes collected data to identify patterns, hypothesizes why a behavior is occurring, and determines the function of the behavior. This represents which consultation stage?","Problem identification","Problem analysis","Intervention implementation","Evaluation",B,"Problem analysis",A=22|B=16|C=27|D=10,16.00,A=1.38|B=1.00|C=1.69|D=0.63,"none",ETS
SP5403_Q134,,"NEW-2-ConsultationProcess",C&C,"During the intervention stage of consultation, who is responsible for implementing the intervention with the student?","The consultant (school psychologist), because they designed the intervention","The consultee (teacher), because consultation is an indirect service","Both the consultant and consultee together","The student, with guidance from the consultant",B,"The consultee (teacher), because consultation is an indirect service",A=76|B=68|C=42|D=46,68.00,A=1.12|B=1.00|C=0.62|D=0.68,"none",ETS
SP5403_Q135,,"NEW-2-ConsultationProcess",DBDM,"A school psychologist collects data after an intervention has been implemented to determine whether the student's behavior improved and whether the intervention should be continued, modified, or discontinued. This represents which stage of consultation?","Problem analysis","Intervention implementation","Evaluation","Entry/Contracting",C,"Evaluation",A=16|B=27|C=10|D=17,10.00,A=1.60|B=2.70|C=1.00|D=1.70,"length-mismatch",ETS
SP5403_Q136,,"NEW-2-CommunicationStrategies",C&C,"During a consultation meeting, a teacher expresses frustration about a student's behavior. The school psychologist responds by summarizing what the teacher said, reflecting the teacher's feelings, and asking clarifying questions. This demonstrates which consultation skill?","Active listening","Problem-solving","Directive guidance","Expert consultation",A,"Active listening",A=16|B=15|C=18|D=19,16.00,A=1.00|B=0.94|C=1.13|D=1.19,"none",ETS
SP5403_Q137,,"NEW-2-CommunicationStrategies",C&C,"A teacher describes a complex situation with a student. The school psychologist responds, 'So if I understand correctly, you're saying that the behavior occurs primarily during transitions and when the student is asked to work independently. Is that accurate?' This response demonstrates:","Giving expert advice","Paraphrasing to clarify understanding","Jumping to solutions","Avoiding the problem",B,"Paraphrasing to clarify understanding",A=20|B=37|C=20|D=20,37.00,A=0.54|B=1.00|C=0.54|D=0.54,"none",ETS
SP5403_Q138,,CC-S03,C&C,"A teacher asks a school psychologist, 'What should I do about this student's behavior?' The psychologist responds by asking questions to help the teacher think through options rather than immediately providing solutions. This approach:","Avoids the expert trap and promotes consultee ownership","Shows the psychologist doesn't know the answer","Wastes time when the psychologist could just provide the solution","Is inappropriate because teachers expect expert advice",A,"Avoids the expert trap and promotes consultee ownership",A=55|B=46|C=65|D=54,55.00,A=1.00|B=0.84|C=1.18|D=0.98,"none",ETS
SP5403_Q139,,"NEW-2-CommunicationStrategies",Academic,"A teacher is resistant to implementing a recommended intervention, saying 'I've tried everything and nothing works.' The most effective response from the school psychologist is to:","Insist that the teacher try the recommended intervention","Acknowledge the teacher's concerns, explore barriers, and collaboratively problem-solve","Provide more research evidence supporting the intervention","Take over and implement the intervention directly",B,"Acknowledge the teacher's concerns, explore barriers, and collaboratively problem-solve",A=56|B=87|C=58|D=49,87.00,A=0.64|B=1.00|C=0.67|D=0.56,"irrelevant-domain",ETS
SP5403_Q140,,"NEW-2-CommunicationStrategies",MBH,"A school psychologist is facilitating a meeting with teachers, parents, a community mental health provider, and a school administrator to coordinate services for a student. To effectively facilitate communication among these diverse stakeholders, the psychologist should:","Ensure all parties understand each other's roles and perspectives","Make decisions unilaterally to avoid conflict","Focus only on the school's perspective","Let each stakeholder speak without facilitation",A,"Ensure all parties understand each other's roles and perspectives",A=65|B=45|C=38|D=47,65.00,A=1.00|B=0.69|C=0.58|D=0.72,"none",ETS
SP5403_Q141,,"NEW-10-EthicalProblemSolving","Prevention","A school psychologist faces an ethical dilemma involving competing principles. According to NASP's ethical problem-solving model, what is the first step the psychologist should take?","Identify the ethical principles in conflict","Consult with a colleague or supervisor","Determine the best course of action","Document the decision-making process",A,"Identify the ethical principles in conflict",A=43|B=38|C=35|D=36,43.00,A=1.00|B=0.88|C=0.81|D=0.84,"none",ETS
SP5403_Q142,,"NEW-10-EthicalProblemSolving","Prevention","A student tells a school psychologist in confidence that they are planning to harm a classmate. The psychologist must balance confidentiality with the duty to protect. Which ethical principle takes precedence in this situation?","Confidentiality, because the student trusted the psychologist","Duty to protect, because there is an imminent threat to others","Autonomy, because the student has the right to privacy","Beneficence, because the psychologist should help the student",B,"Duty to protect, because there is an imminent threat to others",A=61|B=62|C=54|D=61,62.00,A=0.98|B=1.00|C=0.87|D=0.98,"none",ETS
SP5403_Q143,,"NEW-10-EthicalProblemSolving",MBH,"A school psychologist notices that a school administrator is pressuring teachers to delay special education referrals to reduce costs, which violates IDEA requirements. According to NASP ethical principles, what should the psychologist do first?","Ignore the situation, as it is not the psychologist's responsibility","Address the concern directly with the administrator and document the conversation","Report the administrator to the state education department immediately","Discuss the situation only with other psychologists",B,"Address the concern directly with the administrator and document the conversation",A=68|B=81|C=70|D=51,81.00,A=0.84|B=1.00|C=0.86|D=0.63,"none",ETS
SP5403_Q144,,"NEW-10-EthicalProblemSolving",DBDM,"A school psychologist's close friend asks the psychologist to evaluate their child for special education services. The psychologist should:","Proceed with the evaluation since they know the family well","Decline the evaluation and refer to another qualified professional","Conduct the evaluation but charge a reduced fee","Proceed only if the friend signs a waiver",B,"Decline the evaluation and refer to another qualified professional",A=59|B=66|C=47|D=41,66.00,A=0.89|B=1.00|C=0.71|D=0.62,"none",ETS
